path,extension,new_blob_versions,classification,exact_official_paper_v3_pdf_copy,date_loop_backtest_source,native_nonpaper_personal_portfolio_ledger,runtime_failure_diagnostic,native_paper_result_artifact,paper_result_credit
auto_trade/add_holding.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
auto_trade/main.py,.py,6,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
auto_trade/portfolio.py,.py,4,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
cli/__init__.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
cli/export/__init__.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
cli/export/md_to_pdf.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
cli/main.py,.py,19,implementation_documentation_or_nonresult_media,False,True,False,False,False,False
cli/setup.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
cli/static/report_template.py,.py,9,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
cli/static/welcome.txt,.txt,0,configuration_dependency_or_static_input_not_paper_result,False,False,False,False,False,False
cli/utils.py,.py,10,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
config-bak.yaml,.yaml,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
config.akshare.yaml,.yaml,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
config.origin.yaml,.yaml,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
config.yaml,.yaml,25,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
config_single.yaml,.yaml,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
config_template.yaml,.yaml,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
config_us.yaml,.yaml,4,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/agents/__init__.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/agents/critic_agent.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/agents/data_analysis_agent.py,.py,11,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/agents/market_status_agent.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/agents/prompts.py,.py,5,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/agents/research_agent.py,.py,9,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/config/belief_list.json,.json,3,configuration_dependency_or_static_input_not_paper_result,False,False,False,False,False,False
contest_trade/config/config.akshare.yaml,.yaml,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/config/config.py,.py,7,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/config/etf_pool.txt,.txt,1,configuration_dependency_or_static_input_not_paper_result,False,False,False,False,False,False
contest_trade/config/market_config.yaml,.yaml,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/data_analyst/data_contest.py,.py,3,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/data_analyst/data_manager.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/data_analyst/evaluator.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/data_analyst/predictor.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/judger_critic.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/judger_data_converter.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/judger_executor.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/judger_signal_judger.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/judger_weight_optimizer.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/researcher/lightgbm_predictor/train_model.py,.py,2,research_training_scaffold_still_missing_models_and_called_method,False,False,False,False,False,False
contest_trade/contest/researcher/research_contest.py,.py,4,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/researcher/research_data_manager.py,.py,3,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/researcher/research_predictor.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/researcher/research_signal_judger.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/contest/researcher/research_weight_optimizer.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/__init__.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/akshare_us_market.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/bloomberg_news_crawl.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/data_source_base.py,.py,3,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/eastmoney_community_crawl.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/hot_money.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/hot_money_akshare.py,.py,5,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/market_sentiment_akshare.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/price_market.py,.py,6,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/price_market_akshare.py,.py,6,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/sector_fund_flow_agent.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/sina_news.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/sina_news_crawl.py,.py,5,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/thx_news.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/thx_news_crawl.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/us_financial_news.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/us_hot_money_finance.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/us_market.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/us_market_insight.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/us_money_flow.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/us_news_finance.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/us_polygon_news.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/us_price_market.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/xueqiu_community_crawl.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/yahoo_market.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/data_source/yahoo_news.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/etf_strategy/__init__.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/etf_strategy/data_loader.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/etf_strategy/report.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/etf_strategy/strategy.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/main.py,.py,12,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/models/__init__.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/models/base_agent_model.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/models/llm_model.py,.py,8,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/models/provider_auth.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/__init__.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/aliases.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/corp_info.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/corp_info_akshare.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/corp_info_fmp_us.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/etf_strategy_tool.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/final_report.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/make_decision.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/price_info.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/price_info_akshare.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/price_info_us.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/search_web.py,.py,4,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/stock_selector.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/stock_selector_akshare.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/stock_summary_akshare.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/stock_summary_us.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/stock_symbol_search_akshare.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/stock_symbol_search_us.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/tool_prompts.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/tool_utils.py,.py,7,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/tools/us_screener.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/akshare_utils.py,.py,3,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/cache/__init__.py,.py,1,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/cache/market_manager/csi1000_components_cache.json,.json,1,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/cache/market_manager/csi300_components_cache.json,.json,1,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/cache/market_manager/csi500_components_cache.json,.json,1,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/cache/market_manager/namechange_data.json,.json,1,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/cache/market_manager/stock_basic_cache.json,.json,1,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/cache/market_manager/trade_calendar.json,.json,4,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/cache/market_manager/us_stock_basic_cache.json,.json,0,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/cache/tencent_code_cache.json,.json,1,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/cache/update_cache_files.py,.py,1,market_metadata_cache_not_paper_experiment_input_or_output,False,False,False,False,False,False
contest_trade/utils/date_utils.py,.py,6,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/email_sender.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/finnhub_utils.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/fmp_utils.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/llm_utils.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/logger_config.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/markdown_utils.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/market_manager.py,.py,4,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/market_utils.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/notification.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/polygon_utils.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/report_chart.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/report_utils.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/seekingalpha_utils.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/stock_data_provider.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/string_utils.py,.py,0,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/tencent_utils.py,.py,3,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/trade_manager.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/tushare_provider.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/tushare_utils.py,.py,3,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
contest_trade/utils/yahoo_utils.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
crash_report.txt,.txt,1,postpaper_runtime_failure_diagnostic_not_result,False,False,False,True,False,False
debug_log.txt,.txt,1,postpaper_runtime_failure_diagnostic_not_result,False,False,False,True,False,False
install.bat,.bat,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
log_config.yaml,.yaml,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
logger_README.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
openspec/AGENTS.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
openspec/project.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
polygon_news.json,.json,1,us_market_news_input_snapshot_not_paper_panel,False,False,False,False,False,False
pyproject.toml,.toml,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
requirements.txt,.txt,9,configuration_dependency_or_static_input_not_paper_result,False,False,False,False,False,False
run_contesttrade.bat,.bat,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
run_output.txt,.txt,1,postpaper_runtime_failure_diagnostic_not_result,False,False,False,True,False,False
scripts/add_cash.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
scripts/add_cash.sh,.sh,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
scripts/add_holding.py,.py,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
scripts/add_holding.sh,.sh,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
scripts/analyze_stock.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
scripts/sell_holding.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
seekingalpha_news.json,.json,1,us_market_news_input_snapshot_not_paper_panel,False,False,False,False,False,False
single_symbol/README_single_symbol.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
single_symbol/cli_single.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
single_symbol/single_symbol_signal.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
start.sh,.sh,2,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
tests/test_research_agent_loop.py,.py,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
uv.lock,.lock,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
复现说明.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
安装指南.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
快速开始.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
架构图.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
社区数据源使用指南.md,.md,1,implementation_documentation_or_nonresult_media,False,False,False,False,False,False
