paper_table,entity,market,period,metric,paper_value,cell_role,native_reproduced_value,absolute_difference,status,reason
2,LSTM,S&P500,2021-01-01 to 2024-12-31,IC,0.0028,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LSTM,S&P500,2021-01-01 to 2024-12-31,ICIR,0.0181,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LSTM,S&P500,2021-01-01 to 2024-12-31,AR_pct,-1.51,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LSTM,S&P500,2021-01-01 to 2024-12-31,IR,-0.1671,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LSTM,S&P500,2021-01-01 to 2024-12-31,MDD_pct,-26.05,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,CSI500,2021-01-01 to 2024-12-31,IC,0.0131,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,CSI500,2021-01-01 to 2024-12-31,ICIR,0.1074,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,CSI500,2021-01-01 to 2024-12-31,AR_pct,4.11,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,CSI500,2021-01-01 to 2024-12-31,IR,0.5074,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-17.45,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,S&P500,2021-01-01 to 2024-12-31,IC,0.0013,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,S&P500,2021-01-01 to 2024-12-31,ICIR,0.0129,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,S&P500,2021-01-01 to 2024-12-31,AR_pct,-4.55,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,S&P500,2021-01-01 to 2024-12-31,IR,-0.4964,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Transformer,S&P500,2021-01-01 to 2024-12-31,MDD_pct,-34.96,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,CSI500,2021-01-01 to 2024-12-31,IC,0.012,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,CSI500,2021-01-01 to 2024-12-31,ICIR,0.1209,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,CSI500,2021-01-01 to 2024-12-31,AR_pct,-1.18,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,CSI500,2021-01-01 to 2024-12-31,IR,-0.1588,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-18.97,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,S&P500,2021-01-01 to 2024-12-31,IC,0.0011,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,S&P500,2021-01-01 to 2024-12-31,ICIR,0.0116,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,S&P500,2021-01-01 to 2024-12-31,AR_pct,-2.64,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,S&P500,2021-01-01 to 2024-12-31,IR,-0.4224,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,LightGBM,S&P500,2021-01-01 to 2024-12-31,MDD_pct,-21.17,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,CSI500,2021-01-01 to 2024-12-31,IC,0.0198,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,CSI500,2021-01-01 to 2024-12-31,ICIR,0.1794,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,CSI500,2021-01-01 to 2024-12-31,AR_pct,2.91,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,CSI500,2021-01-01 to 2024-12-31,IR,0.4261,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-12.73,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,S&P500,2021-01-01 to 2024-12-31,IC,-0.0003,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,S&P500,2021-01-01 to 2024-12-31,ICIR,-0.0027,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,S&P500,2021-01-01 to 2024-12-31,AR_pct,-8.51,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,S&P500,2021-01-01 to 2024-12-31,IR,-1.1345,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,TRA,S&P500,2021-01-01 to 2024-12-31,MDD_pct,-49.55,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,CSI500,2021-01-01 to 2024-12-31,IC,0.0,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,CSI500,2021-01-01 to 2024-12-31,ICIR,0.0003,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,CSI500,2021-01-01 to 2024-12-31,AR_pct,-0.35,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,CSI500,2021-01-01 to 2024-12-31,IR,-0.0496,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-16.82,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,S&P500,2021-01-01 to 2024-12-31,IC,0.003,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,S&P500,2021-01-01 to 2024-12-31,ICIR,0.0312,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,S&P500,2021-01-01 to 2024-12-31,AR_pct,-2.49,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,S&P500,2021-01-01 to 2024-12-31,IR,-0.3342,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,Stock-Mixer,S&P500,2021-01-01 to 2024-12-31,MDD_pct,-29.43,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,CSI500,2021-01-01 to 2024-12-31,IC,0.0146,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,CSI500,2021-01-01 to 2024-12-31,ICIR,0.1299,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,CSI500,2021-01-01 to 2024-12-31,AR_pct,3.45,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,CSI500,2021-01-01 to 2024-12-31,IR,0.327,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-17.67,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,S&P500,2021-01-01 to 2024-12-31,IC,0.0026,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,S&P500,2021-01-01 to 2024-12-31,ICIR,0.024,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,S&P500,2021-01-01 to 2024-12-31,AR_pct,2.45,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,S&P500,2021-01-01 to 2024-12-31,IR,0.3369,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaForge,S&P500,2021-01-01 to 2024-12-31,MDD_pct,-10.91,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,CSI500,2021-01-01 to 2024-12-31,IC,0.0113,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,CSI500,2021-01-01 to 2024-12-31,ICIR,0.0872,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,CSI500,2021-01-01 to 2024-12-31,AR_pct,0.78,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,CSI500,2021-01-01 to 2024-12-31,IR,0.0744,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-20.85,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,S&P500,2021-01-01 to 2024-12-31,IC,0.0019,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,S&P500,2021-01-01 to 2024-12-31,ICIR,0.0123,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,S&P500,2021-01-01 to 2024-12-31,AR_pct,1.69,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,S&P500,2021-01-01 to 2024-12-31,IR,0.1664,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,RD-Agent,S&P500,2021-01-01 to 2024-12-31,MDD_pct,-23.18,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,CSI500,2021-01-01 to 2024-12-31,IC,0.0132,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,CSI500,2021-01-01 to 2024-12-31,ICIR,0.1201,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,CSI500,2021-01-01 to 2024-12-31,AR_pct,1.58,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,CSI500,2021-01-01 to 2024-12-31,IR,0.2086,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-14.95,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,S&P500,2021-01-01 to 2024-12-31,IC,0.0048,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,S&P500,2021-01-01 to 2024-12-31,ICIR,0.0369,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,S&P500,2021-01-01 to 2024-12-31,AR_pct,2.75,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,S&P500,2021-01-01 to 2024-12-31,IR,0.24,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,DeepSeek-R1 best-of-10,S&P500,2021-01-01 to 2024-12-31,MDD_pct,-15.34,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,CSI500,2021-01-01 to 2024-12-31,IC,0.0159,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,CSI500,2021-01-01 to 2024-12-31,ICIR,0.1502,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,CSI500,2021-01-01 to 2024-12-31,AR_pct,0.46,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,CSI500,2021-01-01 to 2024-12-31,IR,0.0632,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-21.29,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,S&P500,2021-01-01 to 2024-12-31,IC,0.0028,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,S&P500,2021-01-01 to 2024-12-31,ICIR,0.0217,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,S&P500,2021-01-01 to 2024-12-31,AR_pct,2.29,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,S&P500,2021-01-01 to 2024-12-31,IR,0.2021,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,OpenAI-o1 best-of-10,S&P500,2021-01-01 to 2024-12-31,MDD_pct,-16.35,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaAgent,CSI500,2021-01-01 to 2024-12-31,IC,0.0212,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaAgent,CSI500,2021-01-01 to 2024-12-31,ICIR,0.1938,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaAgent,CSI500,2021-01-01 to 2024-12-31,AR_pct,11.0,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaAgent,CSI500,2021-01-01 to 2024-12-31,IR,1.488,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaAgent,CSI500,2021-01-01 to 2024-12-31,MDD_pct,-9.36,result,,,unavailable_missing_native_paper_result_path,"paper-era source, factor expressions, and seven partial Qlib/MLflow records survive in Git history, but this cell has no full-period exact author-record match and no prediction, holding, return, or baseline output survives"
2,AlphaAgent,S&P500,2021-01-01 to 2024-12-31,IC,0.0056,result,0.005635554500180115,3.555450018011535e-05,corroborated_by_author_history_native_qlib_recorder,"the official author's preprint-era Git history ships the exact Qlib/MLflow record; Qlib's native MLflowRecorder loads the scalar and config artifacts and all five S&P500 AlphaAgent cells match at display precision, but missing inputs/predictions/returns prevent regeneration"
2,AlphaAgent,S&P500,2021-01-01 to 2024-12-31,ICIR,0.0552,result,0.055213454925421054,1.3454925421055308e-05,corroborated_by_author_history_native_qlib_recorder,"the official author's preprint-era Git history ships the exact Qlib/MLflow record; Qlib's native MLflowRecorder loads the scalar and config artifacts and all five S&P500 AlphaAgent cells match at display precision, but missing inputs/predictions/returns prevent regeneration"
2,AlphaAgent,S&P500,2021-01-01 to 2024-12-31,AR_pct,8.74,result,8.743898075444394,0.0038980754443933563,corroborated_by_author_history_native_qlib_recorder,"the official author's preprint-era Git history ships the exact Qlib/MLflow record; Qlib's native MLflowRecorder loads the scalar and config artifacts and all five S&P500 AlphaAgent cells match at display precision, but missing inputs/predictions/returns prevent regeneration"
