paper_figure,asset_pool,metric,top_n,holding_days,paper_value,native_reproduced_value,absolute_difference,extraction,status,paper_result_credit
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,20,5,7.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,20,7,7.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,20,10,8.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,20,15,8.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,20,20,8.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,30,1,18.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,30,2,12.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,30,3,10.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,30,5,9.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,30,7,8.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,30,10,9.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,30,15,9.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,30,20,9.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,50,1,22.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,50,2,15.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,50,3,13.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,50,5,11.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,50,7,10.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,50,10,10.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,50,15,10.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,50,20,10.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,70,1,22.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,70,2,15.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,70,3,12.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,70,5,10.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,70,7,10.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,70,10,10.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,70,15,10.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,70,20,10.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,100,1,23.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,100,2,14.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,100,3,11.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,100,5,10.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,100,7,10.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,100,10,10.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,100,15,10.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,MDD_pct,100,20,10.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,1,1,0.482,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,1,2,1.727,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,1,3,2.295,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,1,5,2.923,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,1,7,2.978,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,1,10,3.372,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,1,15,3.527,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,1,20,3.385,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,2,1,0.922,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,2,2,2.05,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,2,3,2.301,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,2,5,2.611,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,2,7,2.489,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,2,10,2.799,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,2,15,3.023,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,2,20,2.848,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,3,1,0.359,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,3,2,1.936,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,3,3,2.213,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,3,5,2.605,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,3,7,2.692,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,3,10,2.899,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,3,15,2.727,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,3,20,2.579,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,5,1,-0.179,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,5,2,1.271,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,5,3,1.745,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,5,5,2.133,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,5,7,2.314,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,5,10,2.37,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,5,15,2.223,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,5,20,2.261,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,7,1,-1.126,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,7,2,0.527,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,7,3,1.015,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,7,5,1.525,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,7,7,1.783,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,7,10,1.926,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,7,15,1.889,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,7,20,1.999,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,10,1,-1.273,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,10,2,0.434,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,10,3,1.128,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,10,5,1.618,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,10,7,1.775,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,10,10,1.862,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,10,15,1.754,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,10,20,1.75,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,20,1,-2.238,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,20,2,-0.332,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,20,3,0.324,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,20,5,0.804,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,20,7,0.979,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,20,10,1.107,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,20,15,1.018,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,20,20,0.941,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,30,1,-2.405,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,30,2,-0.69,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,30,3,-0.052,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,30,5,0.354,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,30,7,0.537,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,30,10,0.665,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,30,15,0.627,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
