bibtex_key,canonical_work_id,preferred_citation,primary_url,title,authors,year,venue,entry_type,source_identifier,primary_class,metadata_source,system_ids,system_names,strata,main_ft,inclusion_exclusion_rationale
CensusArxiv240207080,CensusArxiv240207080,yes,https://arxiv.org/abs/2402.07080,RiskMiner: Discovering Formulaic Alphas via Risk Seeking Monte Carlo Tree Search,Tao Ren; Ruihan Zhou; Jinyang Jiang; Jiafeng Liang; Qinghao Wang; Yijie Peng,2024,arXiv,misc,2402.07080,q-fin.CP,arXiv API,SYS-RISK-MINER,RiskMiner,M,no,OUT: mechanistic/non-LLM comparator.
CensusArxiv240209746,CensusArxiv240209746,yes,https://arxiv.org/abs/2402.09746,Alpha-GPT 2.0: Human-in-the-Loop AI for Quantitative Investment,Hang Yuan; Saizhuo Wang; Jian Guo,2024,arXiv,misc,2402.09746,q-fin.CP,arXiv API,SYS-ALPHA-GPT,Alpha-GPT lineage,F,yes,IN: human-in-the-loop formulaic alpha mining.
CensusArxiv240218485,CensusArxiv240218485,yes,https://arxiv.org/abs/2402.18485,"A Multimodal Foundation Agent for Financial Trading: Tool-Augmented, Diversified, and Generalist",Wentao Zhang; Lingxuan Zhao; Haochong Xia; Shuo Sun; Jiaze Sun; Molei Qin; Xinyi Li; Yuqing Zhao; Yilei Zhao; Xinyu Cai; Longtao Zheng; Xinrun Wang; Bo An,2024,arXiv,misc,2402.18485,q-fin.TR,arXiv API,SYS-FIN-AGENT,FinAgent,T,yes,IN: produces sequential trading actions.
CensusArxiv240610811,CensusArxiv240610811,yes,https://arxiv.org/abs/2406.10811,LLMFactor: Extracting Profitable Factors through Prompts for Explainable Stock Movement Prediction,Meiyun Wang; Kiyoshi Izumi; Hiroki Sakaji,2024,arXiv,misc,2406.10811,cs.CL,arXiv API,SYS-LLM-FACTOR,LLMFactor,F,yes,IN: profitable/explainable factor extraction.
CensusArxiv240616505,CensusArxiv240616505,yes,https://arxiv.org/abs/2406.16505,$\text{Alpha}^2$: Discovering Logical Formulaic Alphas using Deep Reinforcement Learning,Feng Xu; Yan Yin; Xinyu Zhang; Tianyuan Liu; Shengyi Jiang; Zongzhang Zhang,2024,arXiv,misc,2406.16505,q-fin.CP,arXiv API,SYS-ALPHA2,Alpha^2,M,no,OUT: mechanistic non-LLM comparator.
CensusArxiv240618394,CensusArxiv240618394,yes,https://arxiv.org/abs/2406.18394,AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors,Hao Shi; Weili Song; Xinting Zhang; Jiahe Shi; Cuicui Luo; Xiang Ao; Hamid Arian; Luis Seco,2024,arXiv,misc,2406.18394,q-fin.CP,arXiv API,SYS-ALPHA-FORGE,AlphaForge,M,no,OUT: mechanistic formula-alpha comparator.
CensusArxiv240706567,CensusArxiv240706567,yes,https://arxiv.org/abs/2407.06567,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,Yangyang Yu; Zhiyuan Yao; Haohang Li; Zhiyang Deng; Yupeng Cao; Zhi Chen; Jordan W. Suchow; Rong Liu; Zhenyu Cui; Zhaozhuo Xu; Denghui Zhang; Koduvayur Subbalakshmi; Guojun Xiong; Yueru He; Jimin Huang; Dong Li; Qianqian Xie,2024,arXiv,misc,2407.06567,cs.CL,arXiv API,SYS-FIN-CON,FinCon,T,yes,IN: multi-agent portfolio/trading method.
CensusArxiv240906289,WorkAutomateStrategy,no,https://arxiv.org/abs/2409.06289,Automate Strategy Finding with LLM in Quant Investment,Zhizhuo Kou; Holam Yu; Junyu Luo; Jingshu Peng; Xujia Li; Chengzhong Liu; Juntao Dai; Lei Chen; Sirui Han; Yike Guo,2024,arXiv,misc,2409.06289,q-fin.PM,arXiv API,SYS-AUTOMATE-STRATEGY,Automate Strategy Finding with LLM in Quant Investment,F,yes,IN: automated LLM strategy/factor discovery.
CensusArxiv240917266,CensusArxiv240917266,yes,https://arxiv.org/abs/2409.17266,Empirical Asset Pricing with Large Language Model Agents,Junyan Cheng; Peter Chin,2024,arXiv,misc,2409.17266,cs.AI,arXiv API,SYS-EMPIRICAL-ASSET-PRICING-LLM,Empirical Asset Pricing with Large Language Model Agents,F,yes,IN: LLM-agent asset-pricing/factor construction.
CensusArxiv241018448,CensusArxiv241018448,yes,https://arxiv.org/abs/2410.18448,GPT-Signal: Generative AI for Semi-automated Feature Engineering in the Alpha Research Process,Yining Wang; Jinman Zhao; Yuri Lawryshyn,2024,arXiv,misc,2410.18448,cs.CE,arXiv API,SYS-GPT-SIGNAL,GPT-Signal,F,yes,IN: LLM-generated investment signals.
CensusArxiv241108899,CensusArxiv241108899,yes,https://arxiv.org/abs/2411.08899,FinVision: A Multi-Agent Framework for Stock Market Prediction,Sorouralsadat Fatemi; Yuheng Hu,2024,arXiv,misc,2411.08899,q-fin.TR,arXiv API,SYS-FIN-VISION,FinVision,T,yes,IN: downstream sequential portfolio/trading decisions.
CensusArxiv241218174,WorkInvestorBench,no,https://arxiv.org/abs/2412.18174,INVESTORBENCH: A Benchmark for Financial Decision-Making Tasks with LLM-based Agent,Haohang Li; Yupeng Cao; Yangyang Yu; Shashidhar Reddy Javaji; Zhiyang Deng; Yueru He; Yuechen Jiang; Zining Zhu; Koduvayur Subbalakshmi; Guojun Xiong; Jimin Huang; Lingfei Qian; Xueqing Peng; Qianqian Xie; Jordan W. Suchow,2024,arXiv,misc,2412.18174,cs.CE,arXiv API,SYS-INVESTOR-BENCH,InvestorBench,B,no,OUT: investor-agent benchmark.
CensusArxiv241220138,CensusArxiv241220138,yes,https://arxiv.org/abs/2412.20138,TradingAgents: Multi-Agents LLM Financial Trading Framework,Yijia Xiao; Edward Sun; Di Luo; Wei Wang,2024,arXiv,misc,2412.20138,q-fin.TR,arXiv API,SYS-TRADING-AGENTS,TradingAgents,T,yes,IN: multi-agent sequential financial trading.
CensusArxiv250100826,CensusArxiv250100826,yes,https://arxiv.org/abs/2501.00826,LLM-Powered Multi-Agent System for Automated Crypto Portfolio Management,Yichen Luo; Yebo Feng; Jiahua Xu; Paolo Tasca; Yang Liu,2025,arXiv,misc,2501.00826,q-fin.TR,arXiv API,SYS-MACI,MACI — LLM-Powered Multi-Agent System for Automated Crypto Portfolio Management,T,yes,IN: automated sequential crypto portfolio manager.
CensusArxiv250200415,CensusArxiv250200415,yes,https://arxiv.org/abs/2502.00415,MarketSenseAI 2.0: Enhancing Stock Analysis through LLM Agents,George Fatouros; Kostas Metaxas; John Soldatos; Manos Karathanassis,2025,arXiv,misc,2502.00415,q-fin.CP,arXiv API,SYS-MARKET-SENSE-AI,MarketSenseAI lineage,T,yes,IN: sequential stock-analysis/trading system.
CensusArxiv250207393,CensusArxiv250207393,yes,https://arxiv.org/abs/2502.07393,FinRL-DeepSeek: LLM-Infused Risk-Sensitive Reinforcement Learning for Trading Agents,Mostapha Benhenda,2025,arXiv,misc,2502.07393,q-fin.TR,arXiv API,SYS-FIN-RL-DEEPSEEK,FinRL-DeepSeek,T,yes,IN: LLM-assisted RL trading system.
CensusArxiv250213165,CensusArxiv250213165,yes,https://arxiv.org/abs/2502.13165,HedgeAgents: A Balanced-aware Multi-agent Financial Trading System,Xiangyu Li; Yawen Zeng; Xiaofen Xing; Jin Xu; Xiangmin Xu,2025,arXiv,misc,2502.13165,cs.MA,arXiv API,SYS-HEDGE-AGENTS,HedgeAgents,T,yes,IN: multi-agent trading/hedging system.
CensusArxiv250216789,CensusArxiv250216789,yes,https://arxiv.org/abs/2502.16789,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,Ziyi Tang; Zechuan Chen; Jiarui Yang; Jiayao Mai; Yongsen Zheng; Keze Wang; Jinrui Chen; Liang Lin,2025,arXiv,misc,2502.16789,cs.CE,arXiv API,SYS-ALPHA-AGENT,AlphaAgent,F,yes,IN: LLM-driven formulaic alpha mining.
CensusArxiv250507078,WorkFINSABER,no,https://arxiv.org/abs/2505.07078,Can LLM-based Financial Investing Strategies Outperform the Market in Long Run?,Weixian Waylon Li; Hyeonjun Kim; Mihai Cucuringu; Tiejun Ma,2025,arXiv,misc,2505.07078,q-fin.TR,arXiv API,SYS-FINSABER,FINSABER lineage,B,no,"OUT: benchmark, not trading method."
CensusArxiv250510278,CensusArxiv250510278,yes,https://arxiv.org/abs/2505.10278,MASS: Muli-agent simulation scaling for portfolio construction,Taian Guo; Haiyang Shen; JinSheng Huang; Zhengyang Mao; Junyu Luo; Binqi Chen; Zhuoru Chen; Luchen Liu; Bingyu Xia; Xuhui Liu; Yun Ma; Ming Zhang,2025,arXiv,misc,2505.10278,cs.AI,arXiv API,SYS-MASS,MASS,T,yes,IN: multi-agent sequential trading system.
CensusArxiv250511065,CensusArxiv250511065,yes,https://arxiv.org/abs/2505.11065,Time Travel is Cheating: Going Live with DeepFund for Real-Time Fund Investment Benchmarking,Changlun Li; Yao Shi; Chen Wang; Qiqi Duan; Runke Ruan; Weijie Huang; Haonan Long; Lijun Huang; Nan Tang; Yuyu Luo,2025,arXiv,misc,2505.11065,cs.CE,arXiv API,SYS-DEEP-FUND,DeepFund,B,no,OUT: live fund-investment benchmark.
CensusArxiv250511122,CensusArxiv250511122,yes,https://arxiv.org/abs/2505.11122,Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,Yu Shi; Yitong Duan; Jian Li,2025,arXiv,misc,2505.11122,cs.AI,arXiv API,SYS-ALPHA-JUNGLE,Alpha-Jungle,F,yes,IN: LLM-guided formulaic alpha search.
CensusArxiv250717211,CensusArxiv250717211,yes,https://arxiv.org/abs/2507.17211,EFS: Evolutionary Factor Searching for Sparse Portfolio Optimization Using Large Language Models,Haochen Luo; Yuan Zhang; Chen Liu,2025,arXiv,misc,2507.17211,q-fin.PM,arXiv API,SYS-EFS,EFS,F,yes,IN: LLM factor search with sparse portfolio construction.
CensusArxiv250720474,CensusArxiv250720474,yes,https://arxiv.org/abs/2507.20474,MountainLion: A Multi-Modal LLM-Based Agent System for Interpretable and Adaptive Financial Trading,Siyi Wu; Junqiao Wang; Zhaoyang Guan; Leyi Zhao; Xinyuan Song; Xinyu Ying; Dexu Yu; Jinhao Wang; Hanlin Zhang; Michele Pak; Yangfan He; Yi Xin; Jianhui Wang; Tianyu Shi,2025,arXiv,misc,2507.20474,q-fin.TR,arXiv API,SYS-MOUNTAIN-LION,MountainLion,T,yes,IN: sequential trading/portfolio decisions.
CensusArxiv250800554,CensusArxiv250800554,yes,https://arxiv.org/abs/2508.00554,ContestTrade: A Multi-Agent Trading System Based on Internal Contest Mechanism,Rui Sun; Li Zhao; Zuoyou Jiang; Bo Yang; Yuxiao Bai; Mengting Chen; Jing Li; Zuo Bai,2025,arXiv,misc,2508.00554,q-fin.TR,arXiv API,SYS-CONTEST-TRADE,ContestTrade,T,yes,IN: multi-agent sequential trading system.
CensusArxiv250806312,CensusArxiv250806312,yes,https://arxiv.org/abs/2508.06312,Chain-of-Alpha: Unleashing the Power of Large Language Models for Alpha Mining in Quantitative Trading,Lang Cao,2025,arXiv,misc,2508.06312,cs.CE,arXiv API,SYS-CHAIN-OF-ALPHA,Chain-of-Alpha,F,yes,IN: formulaic alpha generation and optimization.
CensusArxiv250811152,CensusArxiv250811152,yes,https://arxiv.org/abs/2508.11152,AlphaAgents: Large Language Model based Multi-Agents for Equity Portfolio Constructions,Tianjiao Zhao; Jingrao Lyu; Stokes Jones; Harrison Garber; Stefano Pasquali; Dhagash Mehta,2025,arXiv,misc,2508.11152,q-fin.ST,arXiv API,SYS-ALPHA-AGENTS,AlphaAgents,T,yes,IN: produces portfolio decisions.
CensusArxiv250813174,CensusArxiv250813174,yes,https://arxiv.org/abs/2508.13174,AlphaEval: A Comprehensive and Efficient Evaluation Framework for Formula Alpha Mining,Hongjun Ding; Binqi Chen; Jinsheng Huang; Taian Guo; Zhengyang Mao; Guoyi Shao; Lutong Zou; Luchen Liu; Ming Zhang,2025,arXiv,misc,2508.13174,cs.AI,arXiv API,SYS-ALPHA-EVAL,AlphaEval,B,no,OUT: formula-alpha evaluation benchmark.
CensusArxiv250816334,CensusArxiv250816334,yes,https://arxiv.org/abs/2508.16334,From Flat to Hierarchical: Evolving Tree-structured Thoughts for Fine-grained Alpha Mining,Junji Ren; Junjie Zhao; Shengcai Liu; Peng Yang,2025,arXiv,misc,2508.16334,cs.CE,arXiv API,SYS-TREEVO,TreEvo,F,yes,IN: evolutionary alpha/factor discovery.
CensusArxiv250817565,CensusArxiv250817565,yes,https://arxiv.org/abs/2508.17565,TradingGroup: A Multi-Agent Trading System with Self-Reflection and Data-Synthesis,Feng Tian; Flora D. Salim; Hao Xue,2025,arXiv,misc,2508.17565,cs.AI,arXiv API,SYS-TRADING-GROUP,TradingGroup,T,yes,IN: group-agent sequential trading system.
CensusArxiv250905080,CensusArxiv250905080,yes,https://arxiv.org/abs/2509.05080,MM-ARC: Multimodal Adaptive Routing of Capital with Robustness-Audited Strategy Pools,Yang Chen; Yuchen Cao; Jacky Keung; Leilei Gan; Kun Kuang; Yueheng Jiang; Zhaozhao Ma; Jianping Zhu; Fei Wu; Jinpeng Li,2025,arXiv,misc,2509.05080,q-fin.TR,arXiv API,SYS-MM-DREX,MM-DREX,T,yes,IN: sequential financial trading decisions.
CensusArxiv250909995,CensusArxiv250909995,yes,https://arxiv.org/abs/2509.09995,QuantHarness: Price-Driven Multi-Agent LLMs for High-Frequency Trading,Fei Xiong; Xiang Zhang; Aosong Feng; Siqi Sun; Chenyu You,2025,arXiv,misc,2509.09995,cs.CE,arXiv API,SYS-QUANT-AGENT-HFT,QuantAgent — Price-Driven Multi-Agent LLMs for High-Frequency Trading,T,yes,IN: sequential high-frequency trading agent.
CensusArxiv250911420,CensusArxiv250911420,yes,https://arxiv.org/abs/2509.11420,Trading-R1: Financial Trading with LLM Reasoning via Reinforcement Learning,Yijia Xiao; Edward Sun; Tong Chen; Fang Wu; Di Luo; Wei Wang,2025,arXiv,misc,2509.11420,q-fin.TR,arXiv API,SYS-TRADING-R1,Trading-R1,T,yes,IN: RL-trained trading-reasoning system.
CensusArxiv251001664,CensusArxiv251001664,yes,https://arxiv.org/abs/2510.01664,GuruAgents: Emulating Wise Investors with Prompt-Guided LLM Agents,Yejin Kim; Youngbin Lee; Juhyeong Kim; Yongjae Lee,2025,arXiv,misc,2510.01664,cs.AI,arXiv API,SYS-GURU-AGENTS,GuruAgents,T,yes,IN: prompt-guided portfolio decisions.
CensusArxiv251002209,CensusArxiv251002209,yes,https://arxiv.org/abs/2510.02209,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,Yanxu Chen; Zijun Yao; Yantao Liu; Amy Xin; Jin Ye; Jianing Yu; Lei Hou; Juanzi Li,2025,arXiv,misc,2510.02209,cs.LG,arXiv API,SYS-STOCK-BENCH,StockBench,B,no,OUT: stock-agent benchmark.
CensusArxiv251004643,CensusArxiv251004643,yes,https://arxiv.org/abs/2510.04643,QuantAgents: Towards Multi-agent Financial System via Simulated Trading,Xiangyu Li; Yawen Zeng; Xiaofen Xing; Jin Xu; Xiangmin Xu,2025,arXiv,misc,2510.04643,cs.AI,arXiv API,SYS-QUANT-AGENTS,QuantAgents,T,yes,IN: sequential trading system.
CensusArxiv251004787,CensusArxiv251004787,yes,https://arxiv.org/abs/2510.04787,Trade in Minutes! Rationality-Driven Agentic System for Quantitative Financial Trading,Zifan Song; Kaitao Song; Guosheng Hu; Ding Qi; Junyao Gao; Xiaohua Wang; Dongsheng Li; Cairong Zhao,2025,arXiv,misc,2510.04787,cs.MA,arXiv API,SYS-TRADE-IN-MINUTES,Trade in Minutes!,T,yes,IN: sequential quantitative trading system.
CensusArxiv251007920,CensusArxiv251007920,yes,https://arxiv.org/abs/2510.07920,Profit Mirage: Revisiting Information Leakage in LLM-based Financial Agents,Xiangyu Li; Yawen Zeng; Xiaofen Xing; Jin Xu; Xiangmin Xu,2025,arXiv,misc,2510.07920,cs.AI,arXiv API,SYS-FACTFIN; SYS-FINLAKE-BENCH,FactFin; FinLake-Bench — FinLeak-Bench alias,B; T,yes,IN: named sequential trading system. || OUT: leakage/memorization benchmark.
CensusArxiv251011695,WorkAgentMarketArena,no,https://arxiv.org/abs/2510.11695,When Agents Trade: Live Multi-Market Trading Benchmark for LLM Agents,Lingfei Qian; Xueqing Peng; Yan Wang; Vincent Jim Zhang; Huan He; Hanley Smith; Yi Han; Yueru He; Haohang Li; Yupeng Cao; Yangyang Yu; Alejandro Lopez-Lira; Peng Lu; Jian-Yun Nie; Guojun Xiong; Jimin Huang; Sophia Ananiadou,2025,arXiv,misc,2510.11695,cs.CL,arXiv API,SYS-AGENT-MARKET-ARENA,Agent Market Arena,B,no,"OUT: benchmark/arena, not one alpha-generating method."
CensusArxiv251015949,CensusArxiv251015949,yes,https://arxiv.org/abs/2510.15949,ATLAS: Adaptive Trading with LLM AgentS Through Dynamic Prompt Optimization and Multi-Agent Coordination,Charidimos Papadakis; Angeliki Dimitriou; Giorgos Filandrianos; Maria Lymperaiou; Konstantinos Thomas; Giorgos Stamou,2025,arXiv,misc,2510.15949,q-fin.TR,arXiv API,SYS-ATLAS,ATLAS,T,yes,IN: sequential trading/portfolio agent.
CensusArxiv251023032,CensusArxiv251023032,yes,https://arxiv.org/abs/2510.23032,P1GPT: a multi-agent LLM workflow module for multi-modal financial information analysis,Chen-Che Lu; Yun-Cheng Chou; Teng-Ruei Chen,2025,arXiv,misc,2510.23032,cs.CE,arXiv API,SYS-P1GPT,P1GPT,T,yes,IN: produces investment decisions.
CensusArxiv251027251,CensusArxiv251027251,yes,https://arxiv.org/abs/2510.27251,FinPos: A Position-Aware Trading Agent System for Real Financial Markets,Bijia Liu; Ronghao Dang,2025,arXiv,misc,2510.27251,cs.MA,arXiv API,SYS-FIN-POS,FinPos,T,yes,IN: sequential position/trading system.
CensusArxiv251103628,CensusArxiv251103628,yes,https://arxiv.org/abs/2511.03628,LiveTradeBench: Seeking Real-World Alpha with Large Language Models,Haofei Yu; Fenghai Li; Jiaxuan You,2025,arXiv,misc,2511.03628,q-fin.TR,arXiv API,SYS-LIVE-TRADE-BENCH,LiveTradeBench,B,no,OUT: live evaluation benchmark.
CensusArxiv251112599,CensusArxiv251112599,yes,https://arxiv.org/abs/2511.12599,FINRS: A Risk-Sensitive Trading Framework for Real Financial Markets,Bijia Liu; Ronghao Dang,2025,arXiv,misc,2511.12599,cs.MA,arXiv API,SYS-FIN-RS,FinRS,T,yes,IN: sequential financial decision system.
CensusArxiv251118850,CensusArxiv251118850,yes,https://arxiv.org/abs/2511.18850,Cognitive Alpha Mining via LLM-Driven Code-Based Evolution,Fengyuan Liu; Yi Huang; Sichun Luo; Yuqi Wang; Yazheng Yang; Xinye Li; Zefa Hu; Junlan Feng; Qi Liu,2025,arXiv,misc,2511.18850,cs.CL,arXiv API,SYS-COG-ALPHA,CogAlpha,F,yes,IN: executable alpha evolution.
CensusArxiv251202261,CensusArxiv251202261,yes,https://arxiv.org/abs/2512.02261,TradeTrap: Are LLM-based Trading Agents Truly Reliable and Faithful?,Lewen Yan; Jilin Mei; Tianyi Zhou; Lige Huang; Jie Zhang; Dongrui Liu; Jing Shao,2025,arXiv,misc,2512.02261,cs.AI,arXiv API,SYS-TRADE-TRAP,TradeTrap,B,no,OUT: reliability/audit harness.
