paper_table,item,metric,value_role,paper_value,native_reproduced_value,absolute_difference,author_output_value,author_output_correspondence,independently_regenerated,status,paper_result_credit
Table 1 Main CSI300 results,LightGBM,ICIR,direct,0.2055,,,0.2055,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LightGBM,Rank_IC,direct,0.0423,,,0.0423,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LightGBM,Rank_ICIR,direct,0.3726,,,0.3726,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LightGBM,IR,direct,0.0092,,,0.0092,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LightGBM,ARR_pct,direct,0.07,,,0.07,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LightGBM,MDD_pct,direct,21.8,,,21.8,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,MLP,IC,direct,0.0321,,,0.0321,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,MLP,ICIR,direct,0.278,,,0.278,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,MLP,Rank_IC,direct,0.0438,,,0.0438,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,MLP,Rank_ICIR,direct,0.4088,,,0.4088,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,MLP,IR,direct,0.1716,,,0.1716,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,MLP,ARR_pct,direct,1.46,,,1.46,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,MLP,MDD_pct,direct,18.15,,,18.15,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,DoubleEnsemble,IC,direct,0.0213,,,0.0213,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,DoubleEnsemble,ICIR,direct,0.167,,,0.167,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,DoubleEnsemble,Rank_IC,direct,0.0408,,,0.0408,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,DoubleEnsemble,Rank_ICIR,direct,0.3372,,,0.3372,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,DoubleEnsemble,IR,direct,0.249,,,0.249,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,DoubleEnsemble,ARR_pct,direct,1.85,,,1.85,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,DoubleEnsemble,MDD_pct,direct,15.0,,,15.0,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,GRU,IC,direct,0.0321,,,0.0321,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,GRU,ICIR,direct,0.2603,,,0.2603,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,GRU,Rank_IC,direct,0.0442,,,0.0442,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,GRU,Rank_ICIR,direct,0.3601,,,0.3601,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,GRU,IR,direct,0.5302,,,0.5302,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,GRU,ARR_pct,direct,3.61,,,3.61,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,GRU,MDD_pct,direct,15.01,,,15.01,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Transformer,IC,direct,0.0331,,,0.0331,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Transformer,ICIR,direct,0.2702,,,0.2702,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Transformer,Rank_IC,direct,0.0451,,,0.0451,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Transformer,Rank_ICIR,direct,0.3801,,,0.3801,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Transformer,IR,direct,0.4502,,,0.4502,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Transformer,ARR_pct,direct,5.21,,,5.21,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Transformer,MDD_pct,direct,13.81,,,13.81,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LSTM,IC,direct,0.0331,,,0.0331,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LSTM,ICIR,direct,0.2502,,,0.2502,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LSTM,Rank_IC,direct,0.0451,,,0.0451,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LSTM,Rank_ICIR,direct,0.3503,,,0.3503,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LSTM,IR,direct,0.6802,,,0.6802,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LSTM,ARR_pct,direct,6.01,,,6.01,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,LSTM,MDD_pct,direct,14.81,,,14.81,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,TRA,IC,direct,0.0421,,,0.0421,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,TRA,ICIR,direct,0.3402,,,0.3402,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,TRA,Rank_IC,direct,0.0511,,,0.0511,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,TRA,Rank_ICIR,direct,0.4203,,,0.4203,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,TRA,IR,direct,1.0502,,,1.0502,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,TRA,ARR_pct,direct,6.81,,,6.81,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,TRA,MDD_pct,direct,8.51,,,8.51,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha158(20),IC,direct,0.0051,0.005071733580974592,2.8266419025408003e-05,0.0051,True,True,independently_regenerated_matches_paper_rounding,True
Table 1 Main CSI300 results,Alpha158(20),ICIR,direct,0.0329,0.03287938627233083,2.0613727669170634e-05,0.0329,True,True,independently_regenerated_matches_paper_rounding,True
Table 1 Main CSI300 results,Alpha158(20),Rank_IC,direct,0.0184,0.01838526953812549,1.4730461874508383e-05,0.0184,True,True,independently_regenerated_matches_paper_rounding,True
Table 1 Main CSI300 results,Alpha158(20),Rank_ICIR,direct,0.1177,0.11770777250034052,7.772500340522126e-06,0.1177,True,True,independently_regenerated_matches_paper_rounding,True
Table 1 Main CSI300 results,Alpha158(20),IR,direct,0.5044,0.5043710541234949,2.894587650503766e-05,0.5044,True,True,independently_regenerated_matches_paper_rounding,True
Table 1 Main CSI300 results,Alpha158(20),ARR_pct,direct,4.63,4.629928329578073,7.1670421927017e-05,4.63,True,True,independently_regenerated_matches_paper_rounding,True
Table 1 Main CSI300 results,Alpha158(20),MDD_pct,direct,22.19,22.18958292110946,0.0004170788905426548,22.19,True,True,independently_regenerated_matches_paper_rounding,True
Table 1 Main CSI300 results,Alpha158,IC,direct,0.0131,,,0.0131,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha158,ICIR,direct,0.0817,,,0.0817,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha158,Rank_IC,direct,0.0334,,,0.0334,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha158,Rank_ICIR,direct,0.2119,,,0.2119,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha158,IR,direct,0.4099,,,0.4099,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha158,ARR_pct,direct,2.66,,,2.66,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha158,MDD_pct,direct,10.15,,,10.15,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha360,IC,direct,0.0105,,,0.0105,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha360,ICIR,direct,0.0636,,,0.0636,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha360,Rank_IC,direct,0.0306,,,0.0306,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha360,Rank_ICIR,direct,0.1889,,,0.1889,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha360,IR,direct,0.6009,,,0.6009,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha360,ARR_pct,direct,4.09,,,4.09,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,Alpha360,MDD_pct,direct,11.52,,,11.52,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Qwen3-235B,IC,direct,0.0267,,,0.0267,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Qwen3-235B,ICIR,direct,0.1676,,,0.1676,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Qwen3-235B,Rank_IC,direct,0.0194,,,0.0194,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Qwen3-235B,Rank_ICIR,direct,0.1199,,,0.1199,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Qwen3-235B,IR,direct,-0.0818,,,-0.0818,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Qwen3-235B,ARR_pct,direct,-0.62,,,-0.62,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Qwen3-235B,MDD_pct,direct,15.04,,,15.04,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / DeepSeek-V3.2,IC,direct,0.0245,,,0.0245,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / DeepSeek-V3.2,ICIR,direct,0.163,,,0.163,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / DeepSeek-V3.2,Rank_IC,direct,0.0192,,,0.0192,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / DeepSeek-V3.2,Rank_ICIR,direct,0.125,,,0.125,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / DeepSeek-V3.2,IR,direct,-0.2123,,,-0.2123,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / DeepSeek-V3.2,ARR_pct,direct,-1.42,,,-1.42,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / DeepSeek-V3.2,MDD_pct,direct,19.17,,,19.17,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Gemini-3-pro-preview,IC,direct,0.0301,,,0.0301,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Gemini-3-pro-preview,ICIR,direct,0.187,,,0.187,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Gemini-3-pro-preview,Rank_IC,direct,0.0282,,,0.0282,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Gemini-3-pro-preview,Rank_ICIR,direct,0.1677,,,0.1677,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Gemini-3-pro-preview,IR,direct,0.2595,,,0.2595,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Gemini-3-pro-preview,ARR_pct,direct,1.89,,,1.89,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Gemini-3-pro-preview,MDD_pct,direct,11.49,,,11.49,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Claude-4.5-sonnet,IC,direct,0.028,,,0.028,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Claude-4.5-sonnet,ICIR,direct,0.2,,,0.2,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Claude-4.5-sonnet,Rank_IC,direct,0.0242,,,0.0242,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Claude-4.5-sonnet,Rank_ICIR,direct,0.1708,,,0.1708,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Claude-4.5-sonnet,IR,direct,0.3568,,,0.3568,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Claude-4.5-sonnet,ARR_pct,direct,2.36,,,2.36,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / Claude-4.5-sonnet,MDD_pct,direct,10.81,,,10.81,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / GPT-5.2,IC,direct,0.0286,,,0.0286,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / GPT-5.2,ICIR,direct,0.1995,,,0.1995,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / GPT-5.2,Rank_IC,direct,0.025,,,0.025,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / GPT-5.2,Rank_ICIR,direct,0.1739,,,0.1739,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / GPT-5.2,IR,direct,0.5321,,,0.5321,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / GPT-5.2,ARR_pct,direct,3.58,,,3.58,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,RD-Agent / GPT-5.2,MDD_pct,direct,16.76,,,16.76,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Qwen3-235B,IC,direct,0.0208,,,0.0208,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Qwen3-235B,ICIR,direct,0.1316,,,0.1316,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Qwen3-235B,Rank_IC,direct,0.0196,,,0.0196,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Qwen3-235B,Rank_ICIR,direct,0.1246,,,0.1246,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Qwen3-235B,IR,direct,-0.0951,,,-0.0951,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Qwen3-235B,ARR_pct,direct,-0.6,,,-0.6,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Qwen3-235B,MDD_pct,direct,18.56,,,18.56,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / DeepSeek-V3.2,IC,direct,0.0299,,,0.0299,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / DeepSeek-V3.2,ICIR,direct,0.1969,,,0.1969,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / DeepSeek-V3.2,Rank_IC,direct,0.0272,,,0.0272,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / DeepSeek-V3.2,Rank_ICIR,direct,0.1799,,,0.1799,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / DeepSeek-V3.2,IR,direct,0.3972,,,0.3972,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / DeepSeek-V3.2,ARR_pct,direct,2.58,,,2.58,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / DeepSeek-V3.2,MDD_pct,direct,9.23,,,9.23,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Gemini-3-pro-preview,IC,direct,0.0263,,,0.0263,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Gemini-3-pro-preview,ICIR,direct,0.1671,,,0.1671,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Gemini-3-pro-preview,Rank_IC,direct,0.0236,,,0.0236,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Gemini-3-pro-preview,Rank_ICIR,direct,0.1512,,,0.1512,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Gemini-3-pro-preview,IR,direct,0.1663,,,0.1663,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Gemini-3-pro-preview,ARR_pct,direct,1.17,,,1.17,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Gemini-3-pro-preview,MDD_pct,direct,14.05,,,14.05,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Claude-4.5-sonnet,IC,direct,0.0311,,,0.0311,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Claude-4.5-sonnet,ICIR,direct,0.2043,,,0.2043,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Claude-4.5-sonnet,Rank_IC,direct,0.0286,,,0.0286,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Claude-4.5-sonnet,Rank_ICIR,direct,0.1754,,,0.1754,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Claude-4.5-sonnet,IR,direct,0.4105,,,0.4105,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Claude-4.5-sonnet,ARR_pct,direct,2.84,,,2.84,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / Claude-4.5-sonnet,MDD_pct,direct,14.72,,,14.72,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / GPT-5.2,IC,direct,0.0347,,,0.0347,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / GPT-5.2,ICIR,direct,0.2122,,,0.2122,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / GPT-5.2,Rank_IC,direct,0.0334,,,0.0334,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / GPT-5.2,Rank_ICIR,direct,0.2053,,,0.2053,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / GPT-5.2,IR,direct,0.1587,,,0.1587,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / GPT-5.2,ARR_pct,direct,1.11,,,1.11,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,AlphaAgent / GPT-5.2,MDD_pct,direct,13.89,,,13.89,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / Qwen3-235B,IC,direct,0.045,,,0.045,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / Qwen3-235B,ICIR,direct,0.2538,,,0.2538,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / Qwen3-235B,Rank_IC,direct,0.0444,,,0.0444,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / Qwen3-235B,Rank_ICIR,direct,0.2507,,,0.2507,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / Qwen3-235B,IR,direct,0.3511,,,0.3511,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / Qwen3-235B,ARR_pct,direct,2.06,,,2.06,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / Qwen3-235B,MDD_pct,direct,16.36,,,16.36,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / DeepSeek-V3.2,IC,direct,0.0461,,,0.0461,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / DeepSeek-V3.2,ICIR,direct,0.2624,,,0.2624,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / DeepSeek-V3.2,Rank_IC,direct,0.045,,,0.045,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / DeepSeek-V3.2,Rank_ICIR,direct,0.2574,,,0.2574,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / DeepSeek-V3.2,IR,direct,0.6271,,,0.6271,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
Table 1 Main CSI300 results,QuantaAlpha / DeepSeek-V3.2,ARR_pct,direct,4.53,,,4.53,True,False,corroborated_by_exact_author_readme_table_raster_not_regenerated,False
