table,category,variant,metric,paper_value,hedgeagents_system_output,arxiv_source_verified,author_site_corroborated,native_reproduced_value,paper_result_credit,status,note
main,Market Trends,DJIA,Vol_pct,0.78,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,MV,ARR_pct,13.03,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,MV,TR_pct,44.39,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,MV,SR,0.71,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,MV,CR,1.25,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,MV,SoR,16.14,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,MV,MDD_pct,32.04,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,MV,Vol_pct,1.13,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,MV,ENT,1.09,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,MV,ENB,1.02,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,ZMR,ARR_pct,-7.25,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,ZMR,TR_pct,-20.21,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,ZMR,SR,-0.52,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,ZMR,CR,-3.13,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,ZMR,SoR,-5.15,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,ZMR,MDD_pct,61.52,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,ZMR,Vol_pct,1.98,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,ZMR,ENT,1.55,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,ZMR,ENB,1.11,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,TSM,ARR_pct,19.13,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,TSM,TR_pct,69.09,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,TSM,SR,0.78,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,TSM,CR,1.53,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,TSM,SoR,18.21,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,TSM,MDD_pct,39.14,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,TSM,Vol_pct,1.55,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,TSM,ENT,1.1,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Rule-based,TSM,ENB,1.09,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,SAC,ARR_pct,24.71,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,SAC,TR_pct,93.94,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,SAC,SR,1.16,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,SAC,CR,3.12,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,SAC,SoR,23.15,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,SAC,MDD_pct,21.56,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,SAC,Vol_pct,1.16,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,SAC,ENT,1.62,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,SAC,ENB,1.14,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,DeepTrader,ARR_pct,32.78,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,DeepTrader,TR_pct,134.11,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,DeepTrader,SR,1.41,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,DeepTrader,CR,4.06,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,DeepTrader,SoR,30.43,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,DeepTrader,MDD_pct,20.95,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,DeepTrader,Vol_pct,1.21,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,DeepTrader,ENT,2.02,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,DeepTrader,ENB,1.3,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,AlphaMix+,ARR_pct,37.59,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,AlphaMix+,TR_pct,160.47,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,AlphaMix+,SR,1.62,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,AlphaMix+,CR,3.69,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,AlphaMix+,SoR,35.52,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,AlphaMix+,MDD_pct,25.56,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,AlphaMix+,Vol_pct,1.17,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,AlphaMix+,ENT,2.93,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,RL-based,AlphaMix+,ENB,1.22,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinGPT,ARR_pct,34.22,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinGPT,TR_pct,141.82,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinGPT,SR,1.93,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinGPT,CR,7.64,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinGPT,SoR,39.57,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinGPT,MDD_pct,17.08,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinGPT,Vol_pct,8.76,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinGPT,ENT,1.76,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinGPT,ENB,1.33,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinMem,ARR_pct,47.67,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinMem,TR_pct,221.99,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinMem,SR,1.2,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinMem,CR,4.02,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinMem,SoR,25.42,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinMem,MDD_pct,32.39,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinMem,Vol_pct,2.16,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinMem,ENT,1.99,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinMem,ENB,1.25,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinAgent,ARR_pct,53.54,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinAgent,TR_pct,261.98,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinAgent,SR,1.8,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinAgent,CR,4.52,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinAgent,SoR,39.12,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinAgent,MDD_pct,28.24,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinAgent,Vol_pct,1.42,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinAgent,ENT,2.85,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,LLM-based,FinAgent,ENB,1.41,False,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Ours,HedgeAgents,ARR_pct,71.6,True,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Ours,HedgeAgents,TR_pct,405.34,True,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Ours,HedgeAgents,SR,2.41,True,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Ours,HedgeAgents,CR,11.02,True,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Ours,HedgeAgents,SoR,58.0,True,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Ours,HedgeAgents,MDD_pct,14.21,True,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Ours,HedgeAgents,Vol_pct,1.3,True,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Ours,HedgeAgents,ENT,3.13,True,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Ours,HedgeAgents,ENB,1.53,True,True,True,,False,author_site_duplicate_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Improvement,Improvement,ARR_pct,33.75,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Improvement,Improvement,TR_pct,54.72,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Improvement,Improvement,SR,24.49,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Improvement,Improvement,CR,44.28,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Improvement,Improvement,SoR,46.58,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Improvement,Improvement,MDD_pct,16.76,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Improvement,Improvement,ENT,6.85,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
main,Improvement,Improvement,ENB,8.51,False,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC,ARR_pct,43.88,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC,TR_pct,197.88,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC,SR,1.9,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC,CR,4.89,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC,SoR,42.2,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC,MDD_pct,21.7,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC,Vol_pct,1.12,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC,ENT,2.56,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC,ENB,1.23,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC,ARR_pct,45.58,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC,TR_pct,208.52,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC,SR,1.67,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC,CR,4.54,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC,SoR,36.36,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC,MDD_pct,24.68,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC,Vol_pct,1.34,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC,ENT,2.39,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC,ENB,1.17,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,EMC,ARR_pct,40.97,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,EMC,TR_pct,180.13,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,EMC,SR,1.96,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,EMC,CR,5.07,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,EMC,SoR,39.58,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,EMC,MDD_pct,19.59,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,EMC,Vol_pct,1.02,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,EMC,ENT,1.97,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,EMC,ENB,1.08,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC+EMC,ARR_pct,50.68,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC+EMC,TR_pct,242.11,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC+EMC,SR,2.01,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC+EMC,CR,6.92,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC+EMC,SoR,45.6,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC+EMC,MDD_pct,17.26,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC+EMC,Vol_pct,1.19,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC+EMC,ENT,2.61,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,BAC+EMC,ENB,1.28,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+EMC,ARR_pct,44.57,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+EMC,TR_pct,202.17,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+EMC,SR,2.24,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+EMC,CR,8.78,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+EMC,SoR,55.01,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+EMC,MDD_pct,12.02,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+EMC,Vol_pct,0.94,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+EMC,ENT,2.72,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+EMC,ENB,1.39,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC,ARR_pct,59.81,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC,TR_pct,308.12,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC,SR,1.93,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC,CR,5.69,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC,SoR,40.16,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC,MDD_pct,24.44,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC,Vol_pct,1.44,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC,ENT,2.91,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC,ENB,1.42,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC+EMC,ARR_pct,71.6,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC+EMC,TR_pct,405.34,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC+EMC,SR,2.41,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC+EMC,CR,11.02,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC+EMC,SoR,58.0,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC+EMC,MDD_pct,8.68,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC+EMC,Vol_pct,1.3,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC+EMC,ENT,3.13,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
conference_ablation,HedgeAgents variant,ESC+BAC+EMC,ENB,1.53,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
llm_backbone,HedgeAgents backbone,Chat-GLM-6B,ARR_pct,49.14,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
llm_backbone,HedgeAgents backbone,Chat-GLM-6B,TR_pct,231.73,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
llm_backbone,HedgeAgents backbone,Chat-GLM-6B,SR,2.88,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
llm_backbone,HedgeAgents backbone,Chat-GLM-6B,CR,12.26,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
llm_backbone,HedgeAgents backbone,Chat-GLM-6B,SoR,66.64,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
llm_backbone,HedgeAgents backbone,Chat-GLM-6B,MDD_pct,9.19,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
llm_backbone,HedgeAgents backbone,Chat-GLM-6B,Vol_pct,0.78,True,True,False,,False,paper_value_only_zero_credit,"No released native trajectory, orders, fills, or metric-generation path."
