agent,permission_type,name,agent_named_count,profile_image,profile_image_sha256,source_format,implementation_released,faithful_replication_credit
Bob,tool,Corporate Earnings Analysis,7,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,tool,Dow Jones Index Component Tracking,7,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,tool,Sector Performance Evaluation,7,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,tool,Risk-Adjusted Return Analysis,7,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,tool,Portfolio Diversification Tools,7,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,scope,DJ30 Historical Price Data,3,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,scope,DJ30 News Data,3,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Bob,scope,DJ30 Market Trends,3,agent2.png,9d59eb994037b53afc926c5d00a603b2dc15a13cd23d81d84b1e30f48c1f3a02,author_site_screenshot_manual_transcription,False,False
Emily,action,Buy,6,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,action,Sell,6,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,action,Hold,6,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,action,AdjustQuantity,6,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,action,AdjustPrice,6,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,action,SetTradingConditions,6,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,tool,Technical Indicator Analysis,7,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,tool,Central Bank Policy Analysis,7,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,tool,Global Macroeconomic Trend Analysis,7,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,tool,Forex Market Liquidity Assessment,7,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,tool,Currency Pair Correlation Matrix,7,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,tool,Geopolitical Risk Assessment,7,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,tool,Interest Rate Differential Analysis,7,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,scope,FX Historical Price Data,2,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Emily,scope,FX News Data,2,agent3.png,6bbd91645d4ec42619b4fd128d3e068a92ed3d3376aaf8c64479b907f8fda3ef,author_site_screenshot_manual_transcription,False,False
Otto,action,Execute Asset Allocation,4,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,action,Initiate Risk Assessment Protocols,4,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,action,Authorize Capital Deployment,4,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,action,Enforce Compliance with Regulatory Standards,4,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,tool,Asset Allocation Optimization,5,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,tool,Risk Management Frameworks,5,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,tool,Portfolio Stress Testing,5,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,tool,Derivatives Strategy Formulation,5,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,tool,Fund Performance Evaluation,5,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,scope,All Historical Price Data,3,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,scope,All News Data,3,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
Otto,scope,All Market Trends,3,agent4.png,0b925af7e3639f854bf474b2893ec1d6f8592ad26508e8357b5f0621cf050127,author_site_screenshot_manual_transcription,False,False
