result_id,matrix,source_svg,row,column,paper_display,source_code_power_value,source_code_power_display,source_code_power_match,paper_equation_multiply_value,paper_equation_multiply_display,paper_equation_multiply_match,llm_regenerated,credit
COR-0054,it_3m_existing,it_3m_16-20_old2.svg,FCF,SPS,0.74,0.7382965871337963,0.74,yes,0.7382965871337963,0.74,yes,no,author_data_deterministic_replay
COR-0055,it_3m_existing,it_3m_16-20_old2.svg,FCF,Return,-0.05,-0.04984978301991766,-0.05,yes,-0.04984978301991766,-0.05,yes,no,author_data_deterministic_replay
COR-0056,it_3m_existing,it_3m_16-20_old2.svg,P/CF,P/E,0.42,0.42066318014910425,0.42,yes,0.42066318014910425,0.42,yes,no,author_data_deterministic_replay
COR-0057,it_3m_existing,it_3m_16-20_old2.svg,P/CF,P/B,0.41,0.40626142523327347,0.41,yes,0.40626142523327347,0.41,yes,no,author_data_deterministic_replay
COR-0058,it_3m_existing,it_3m_16-20_old2.svg,P/CF,ROA,0.11,0.11356880573526838,0.11,yes,0.11356880573526838,0.11,yes,no,author_data_deterministic_replay
COR-0059,it_3m_existing,it_3m_16-20_old2.svg,P/CF,ROE,-0.03,-0.031537617828927486,-0.03,yes,-0.031537617828927486,-0.03,yes,no,author_data_deterministic_replay
COR-0060,it_3m_existing,it_3m_16-20_old2.svg,P/CF,FCF,-0.13,-0.12910712298717195,-0.13,yes,-0.12910712298717195,-0.13,yes,no,author_data_deterministic_replay
COR-0061,it_3m_existing,it_3m_16-20_old2.svg,P/CF,P/CF,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0062,it_3m_existing,it_3m_16-20_old2.svg,P/CF,EBITDA,0.78,0.7780921648730706,0.78,yes,0.7780921648730706,0.78,yes,no,author_data_deterministic_replay
COR-0063,it_3m_existing,it_3m_16-20_old2.svg,P/CF,GM,0.30,0.2994960975377132,0.30,yes,0.2994960975377132,0.30,yes,no,author_data_deterministic_replay
COR-0064,it_3m_existing,it_3m_16-20_old2.svg,P/CF,NM,0.09,0.09356371902271535,0.09,yes,0.09356371902271535,0.09,yes,no,author_data_deterministic_replay
COR-0065,it_3m_existing,it_3m_16-20_old2.svg,P/CF,SPS,-0.21,-0.2092069497210256,-0.21,yes,-0.2092069497210256,-0.21,yes,no,author_data_deterministic_replay
COR-0066,it_3m_existing,it_3m_16-20_old2.svg,P/CF,Return,0.07,0.06859113958257165,0.07,yes,0.06859113958257165,0.07,yes,no,author_data_deterministic_replay
COR-0067,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,P/E,0.59,0.5906388593047099,0.59,yes,0.5906388593047099,0.59,yes,no,author_data_deterministic_replay
COR-0068,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,P/B,0.40,0.4005150296459966,0.40,yes,0.4005150296459966,0.40,yes,no,author_data_deterministic_replay
COR-0069,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,ROA,0.01,0.006898853900077901,0.01,yes,0.006898853900077901,0.01,yes,no,author_data_deterministic_replay
COR-0070,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,ROE,-0.09,-0.08911284553879414,-0.09,yes,-0.08911284553879414,-0.09,yes,no,author_data_deterministic_replay
COR-0071,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,FCF,-0.15,-0.14795180339855982,-0.15,yes,-0.14795180339855982,-0.15,yes,no,author_data_deterministic_replay
COR-0072,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,P/CF,0.78,0.7780921648730706,0.78,yes,0.7780921648730706,0.78,yes,no,author_data_deterministic_replay
COR-0073,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,EBITDA,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0074,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,GM,0.35,0.35426568535503666,0.35,yes,0.35426568535503666,0.35,yes,no,author_data_deterministic_replay
COR-0075,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,NM,0.03,0.02935986901715176,0.03,yes,0.02935986901715176,0.03,yes,no,author_data_deterministic_replay
COR-0076,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,SPS,-0.30,-0.29741372458630716,-0.30,yes,-0.29741372458630716,-0.30,yes,no,author_data_deterministic_replay
COR-0077,it_3m_existing,it_3m_16-20_old2.svg,EBITDA,Return,0.06,0.0581713268371775,0.06,yes,0.0581713268371775,0.06,yes,no,author_data_deterministic_replay
COR-0078,it_3m_existing,it_3m_16-20_old2.svg,GM,P/E,0.06,0.05964965267290848,0.06,yes,0.05964965267290848,0.06,yes,no,author_data_deterministic_replay
COR-0079,it_3m_existing,it_3m_16-20_old2.svg,GM,P/B,0.19,0.18982975408924002,0.19,yes,0.18982975408924002,0.19,yes,no,author_data_deterministic_replay
COR-0080,it_3m_existing,it_3m_16-20_old2.svg,GM,ROA,0.23,0.22631102068066578,0.23,yes,0.22631102068066578,0.23,yes,no,author_data_deterministic_replay
COR-0081,it_3m_existing,it_3m_16-20_old2.svg,GM,ROE,0.08,0.07576817307539462,0.08,yes,0.07576817307539462,0.08,yes,no,author_data_deterministic_replay
COR-0082,it_3m_existing,it_3m_16-20_old2.svg,GM,FCF,0.07,0.06765327695560254,0.07,yes,0.06765327695560254,0.07,yes,no,author_data_deterministic_replay
COR-0083,it_3m_existing,it_3m_16-20_old2.svg,GM,P/CF,0.30,0.2994960975377132,0.30,yes,0.2994960975377132,0.30,yes,no,author_data_deterministic_replay
COR-0084,it_3m_existing,it_3m_16-20_old2.svg,GM,EBITDA,0.35,0.35426568535503666,0.35,yes,0.35426568535503666,0.35,yes,no,author_data_deterministic_replay
COR-0085,it_3m_existing,it_3m_16-20_old2.svg,GM,GM,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0086,it_3m_existing,it_3m_16-20_old2.svg,GM,NM,0.41,0.41174553720453355,0.41,yes,0.41174553720453355,0.41,yes,no,author_data_deterministic_replay
COR-0087,it_3m_existing,it_3m_16-20_old2.svg,GM,SPS,-0.37,-0.3709962008615619,-0.37,yes,-0.3709962008615619,-0.37,yes,no,author_data_deterministic_replay
COR-0088,it_3m_existing,it_3m_16-20_old2.svg,GM,Return,0.01,0.010022413327186881,0.01,yes,0.010022413327186881,0.01,yes,no,author_data_deterministic_replay
COR-0089,it_3m_existing,it_3m_16-20_old2.svg,NM,P/E,-0.40,-0.39909233972881464,-0.40,yes,-0.39909233972881464,-0.40,yes,no,author_data_deterministic_replay
COR-0090,it_3m_existing,it_3m_16-20_old2.svg,NM,P/B,0.01,0.01451302675292882,0.01,yes,0.01451302675292882,0.01,yes,no,author_data_deterministic_replay
COR-0091,it_3m_existing,it_3m_16-20_old2.svg,NM,ROA,0.86,0.8577866442003528,0.86,yes,0.8577866442003528,0.86,yes,no,author_data_deterministic_replay
COR-0092,it_3m_existing,it_3m_16-20_old2.svg,NM,ROE,0.60,0.6032364208618798,0.60,yes,0.6032364208618798,0.60,yes,no,author_data_deterministic_replay
COR-0093,it_3m_existing,it_3m_16-20_old2.svg,NM,FCF,0.36,0.36162552258023495,0.36,yes,0.36162552258023495,0.36,yes,no,author_data_deterministic_replay
COR-0094,it_3m_existing,it_3m_16-20_old2.svg,NM,P/CF,0.09,0.09356371902271535,0.09,yes,0.09356371902271535,0.09,yes,no,author_data_deterministic_replay
COR-0095,it_3m_existing,it_3m_16-20_old2.svg,NM,EBITDA,0.03,0.02935986901715176,0.03,yes,0.02935986901715176,0.03,yes,no,author_data_deterministic_replay
COR-0096,it_3m_existing,it_3m_16-20_old2.svg,NM,GM,0.41,0.41174553720453355,0.41,yes,0.41174553720453355,0.41,yes,no,author_data_deterministic_replay
COR-0097,it_3m_existing,it_3m_16-20_old2.svg,NM,NM,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0098,it_3m_existing,it_3m_16-20_old2.svg,NM,SPS,-0.04,-0.03830930391517907,-0.04,yes,-0.03830930391517907,-0.04,yes,no,author_data_deterministic_replay
COR-0099,it_3m_existing,it_3m_16-20_old2.svg,NM,Return,-0.03,-0.031863485351857436,-0.03,yes,-0.031863485351857436,-0.03,yes,no,author_data_deterministic_replay
COR-0100,it_3m_existing,it_3m_16-20_old2.svg,SPS,P/E,-0.31,-0.3139693843488213,-0.31,yes,-0.3139693843488213,-0.31,yes,no,author_data_deterministic_replay
COR-0101,it_3m_existing,it_3m_16-20_old2.svg,SPS,P/B,-0.12,-0.11956158896183373,-0.12,yes,-0.11956158896183373,-0.12,yes,no,author_data_deterministic_replay
COR-0102,it_3m_existing,it_3m_16-20_old2.svg,SPS,ROA,0.04,0.042990669061660484,0.04,yes,0.042990669061660484,0.04,yes,no,author_data_deterministic_replay
COR-0103,it_3m_existing,it_3m_16-20_old2.svg,SPS,ROE,0.24,0.2380740434596004,0.24,yes,0.2380740434596004,0.24,yes,no,author_data_deterministic_replay
COR-0104,it_3m_existing,it_3m_16-20_old2.svg,SPS,FCF,0.74,0.7382965871337963,0.74,yes,0.7382965871337963,0.74,yes,no,author_data_deterministic_replay
COR-0105,it_3m_existing,it_3m_16-20_old2.svg,SPS,P/CF,-0.21,-0.2092069497210256,-0.21,yes,-0.2092069497210256,-0.21,yes,no,author_data_deterministic_replay
COR-0106,it_3m_existing,it_3m_16-20_old2.svg,SPS,EBITDA,-0.30,-0.29741372458630716,-0.30,yes,-0.29741372458630716,-0.30,yes,no,author_data_deterministic_replay
COR-0107,it_3m_existing,it_3m_16-20_old2.svg,SPS,GM,-0.37,-0.3709962008615619,-0.37,yes,-0.3709962008615619,-0.37,yes,no,author_data_deterministic_replay
COR-0108,it_3m_existing,it_3m_16-20_old2.svg,SPS,NM,-0.04,-0.03830930391517907,-0.04,yes,-0.03830930391517907,-0.04,yes,no,author_data_deterministic_replay
COR-0109,it_3m_existing,it_3m_16-20_old2.svg,SPS,SPS,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0110,it_3m_existing,it_3m_16-20_old2.svg,SPS,Return,-0.11,-0.1072819469392297,-0.11,yes,-0.1072819469392297,-0.11,yes,no,author_data_deterministic_replay
COR-0111,it_3m_existing,it_3m_16-20_old2.svg,Return,P/E,0.07,0.06944952232589932,0.07,yes,0.06944952232589932,0.07,yes,no,author_data_deterministic_replay
COR-0112,it_3m_existing,it_3m_16-20_old2.svg,Return,P/B,0.09,0.08607671398369073,0.09,yes,0.08607671398369073,0.09,yes,no,author_data_deterministic_replay
COR-0113,it_3m_existing,it_3m_16-20_old2.svg,Return,ROA,0.00,0.0032745712060277426,0.00,yes,0.0032745712060277426,0.00,yes,no,author_data_deterministic_replay
COR-0114,it_3m_existing,it_3m_16-20_old2.svg,Return,ROE,-0.00,-0.0029169117296412327,-0.00,yes,-0.0029169117296412327,-0.00,yes,no,author_data_deterministic_replay
COR-0115,it_3m_existing,it_3m_16-20_old2.svg,Return,FCF,-0.05,-0.04984978301991766,-0.05,yes,-0.04984978301991766,-0.05,yes,no,author_data_deterministic_replay
COR-0116,it_3m_existing,it_3m_16-20_old2.svg,Return,P/CF,0.07,0.06859113958257165,0.07,yes,0.06859113958257165,0.07,yes,no,author_data_deterministic_replay
COR-0117,it_3m_existing,it_3m_16-20_old2.svg,Return,EBITDA,0.06,0.0581713268371775,0.06,yes,0.0581713268371775,0.06,yes,no,author_data_deterministic_replay
COR-0118,it_3m_existing,it_3m_16-20_old2.svg,Return,GM,0.01,0.010022413327186881,0.01,yes,0.010022413327186881,0.01,yes,no,author_data_deterministic_replay
COR-0119,it_3m_existing,it_3m_16-20_old2.svg,Return,NM,-0.03,-0.031863485351857436,-0.03,yes,-0.031863485351857436,-0.03,yes,no,author_data_deterministic_replay
COR-0120,it_3m_existing,it_3m_16-20_old2.svg,Return,SPS,-0.11,-0.1072819469392297,-0.11,yes,-0.1072819469392297,-0.11,yes,no,author_data_deterministic_replay
COR-0121,it_3m_existing,it_3m_16-20_old2.svg,Return,Return,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0122,it_3m_new,it_3m_16-20_new2.svg,PVS,PVS,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0123,it_3m_new,it_3m_16-20_new2.svg,PVS,RAPS,0.96,0.9571206027754375,0.96,yes,1.0,1.00,no,no,author_data_deterministic_replay
COR-0124,it_3m_new,it_3m_16-20_new2.svg,PVS,EVC,0.28,0.275373952852533,0.28,yes,0.275373952852533,0.28,yes,no,author_data_deterministic_replay
COR-0125,it_3m_new,it_3m_16-20_new2.svg,PVS,VEC,0.16,0.16345832869700677,0.16,yes,0.16345832869700677,0.16,yes,no,author_data_deterministic_replay
COR-0126,it_3m_new,it_3m_16-20_new2.svg,PVS,PLF,0.96,0.9595447392265015,0.96,yes,0.9595447392265015,0.96,yes,no,author_data_deterministic_replay
COR-0127,it_3m_new,it_3m_16-20_new2.svg,PVS,IQS,0.64,0.6398369072787676,0.64,yes,0.6398369072787676,0.64,yes,no,author_data_deterministic_replay
COR-0128,it_3m_new,it_3m_16-20_new2.svg,PVS,Return,-0.04,-0.04359471617733551,-0.04,yes,-0.04359471617733551,-0.04,yes,no,author_data_deterministic_replay
COR-0129,it_3m_new,it_3m_16-20_new2.svg,RAPS,PVS,0.96,0.9571206027754375,0.96,yes,1.0,1.00,no,no,author_data_deterministic_replay
COR-0130,it_3m_new,it_3m_16-20_new2.svg,RAPS,RAPS,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0131,it_3m_new,it_3m_16-20_new2.svg,RAPS,EVC,0.37,0.36879460808469366,0.37,yes,0.275373952852533,0.28,no,no,author_data_deterministic_replay
COR-0132,it_3m_new,it_3m_16-20_new2.svg,RAPS,VEC,0.10,0.10120968382902286,0.10,yes,0.16345832869700677,0.16,no,no,author_data_deterministic_replay
COR-0133,it_3m_new,it_3m_16-20_new2.svg,RAPS,PLF,0.91,0.9124449601805782,0.91,yes,0.9595447392265015,0.96,no,no,author_data_deterministic_replay
COR-0134,it_3m_new,it_3m_16-20_new2.svg,RAPS,IQS,0.71,0.7120443815670255,0.71,yes,0.6398369072787676,0.64,no,no,author_data_deterministic_replay
COR-0135,it_3m_new,it_3m_16-20_new2.svg,RAPS,Return,-0.07,-0.07023637317394969,-0.07,yes,-0.04359471617733551,-0.04,no,no,author_data_deterministic_replay
COR-0136,it_3m_new,it_3m_16-20_new2.svg,EVC,PVS,0.28,0.275373952852533,0.28,yes,0.275373952852533,0.28,yes,no,author_data_deterministic_replay
COR-0137,it_3m_new,it_3m_16-20_new2.svg,EVC,RAPS,0.37,0.36879460808469366,0.37,yes,0.275373952852533,0.28,no,no,author_data_deterministic_replay
COR-0138,it_3m_new,it_3m_16-20_new2.svg,EVC,EVC,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0139,it_3m_new,it_3m_16-20_new2.svg,EVC,VEC,-0.05,-0.04779920202196823,-0.05,yes,-0.04779920202196823,-0.05,yes,no,author_data_deterministic_replay
COR-0140,it_3m_new,it_3m_16-20_new2.svg,EVC,PLF,0.21,0.21403137865806166,0.21,yes,0.21403137865806166,0.21,yes,no,author_data_deterministic_replay
COR-0141,it_3m_new,it_3m_16-20_new2.svg,EVC,IQS,0.49,0.4861228123162029,0.49,yes,0.4861228123162029,0.49,yes,no,author_data_deterministic_replay
COR-0142,it_3m_new,it_3m_16-20_new2.svg,EVC,Return,-0.12,-0.1220890492616319,-0.12,yes,-0.1220890492616319,-0.12,yes,no,author_data_deterministic_replay
COR-0143,it_3m_new,it_3m_16-20_new2.svg,VEC,PVS,0.16,0.16345832869700677,0.16,yes,0.16345832869700677,0.16,yes,no,author_data_deterministic_replay
COR-0144,it_3m_new,it_3m_16-20_new2.svg,VEC,RAPS,0.10,0.10120968382902286,0.10,yes,0.16345832869700677,0.16,no,no,author_data_deterministic_replay
COR-0145,it_3m_new,it_3m_16-20_new2.svg,VEC,EVC,-0.05,-0.04779920202196823,-0.05,yes,-0.04779920202196823,-0.05,yes,no,author_data_deterministic_replay
COR-0146,it_3m_new,it_3m_16-20_new2.svg,VEC,VEC,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0147,it_3m_new,it_3m_16-20_new2.svg,VEC,PLF,0.18,0.17638970576547078,0.18,yes,0.17638970576547078,0.18,yes,no,author_data_deterministic_replay
COR-0148,it_3m_new,it_3m_16-20_new2.svg,VEC,IQS,-0.23,-0.23323371854583605,-0.23,yes,-0.23323371854583605,-0.23,yes,no,author_data_deterministic_replay
COR-0149,it_3m_new,it_3m_16-20_new2.svg,VEC,Return,0.03,0.030830246864518594,0.03,yes,0.030830246864518594,0.03,yes,no,author_data_deterministic_replay
COR-0150,it_3m_new,it_3m_16-20_new2.svg,PLF,PVS,0.96,0.9595447392265015,0.96,yes,0.9595447392265015,0.96,yes,no,author_data_deterministic_replay
COR-0151,it_3m_new,it_3m_16-20_new2.svg,PLF,RAPS,0.91,0.9124449601805782,0.91,yes,0.9595447392265015,0.96,no,no,author_data_deterministic_replay
COR-0152,it_3m_new,it_3m_16-20_new2.svg,PLF,EVC,0.21,0.21403137865806166,0.21,yes,0.21403137865806166,0.21,yes,no,author_data_deterministic_replay
COR-0153,it_3m_new,it_3m_16-20_new2.svg,PLF,VEC,0.18,0.17638970576547078,0.18,yes,0.17638970576547078,0.18,yes,no,author_data_deterministic_replay
COR-0154,it_3m_new,it_3m_16-20_new2.svg,PLF,PLF,1.00,1.0,1.00,yes,1.0,1.00,yes,no,author_data_deterministic_replay
COR-0155,it_3m_new,it_3m_16-20_new2.svg,PLF,IQS,0.56,0.5618115055079559,0.56,yes,0.5618115055079559,0.56,yes,no,author_data_deterministic_replay
COR-0156,it_3m_new,it_3m_16-20_new2.svg,PLF,Return,-0.04,-0.04206075442305553,-0.04,yes,-0.04206075442305553,-0.04,yes,no,author_data_deterministic_replay
COR-0157,it_3m_new,it_3m_16-20_new2.svg,IQS,PVS,0.64,0.6398369072787676,0.64,yes,0.6398369072787676,0.64,yes,no,author_data_deterministic_replay
COR-0158,it_3m_new,it_3m_16-20_new2.svg,IQS,RAPS,0.71,0.7120443815670255,0.71,yes,0.6398369072787676,0.64,no,no,author_data_deterministic_replay
