version,figure,panel,series,coordinate,metric,rendered_value,duplicate_kind,duplicate_of,independent_numeric_information,native_pipeline_regenerated,paper_result_credit
v2,Figure 8,EoH,Factor 4,Factor 2,correlation,0.27,symmetric_matrix_duplicate,Figure 8:EoH:Factor 2:Factor 4,False,False,False
v2,Figure 8,EoH,Factor 4,Factor 3,correlation,-0.74,symmetric_matrix_duplicate,Figure 8:EoH:Factor 3:Factor 4,False,False,False
v2,Figure 8,EoH,Factor 4,Factor 4,correlation,1.00,structural_correlation_diagonal,correlation_self_identity,False,False,False
v2,Figure 8,EoH,Factor 4,Factor 5,correlation,0.24,none,,True,False,False
v2,Figure 8,EoH,Factor 5,Factor 1,correlation,0.31,symmetric_matrix_duplicate,Figure 8:EoH:Factor 1:Factor 5,False,False,False
v2,Figure 8,EoH,Factor 5,Factor 2,correlation,0.04,symmetric_matrix_duplicate,Figure 8:EoH:Factor 2:Factor 5,False,False,False
v2,Figure 8,EoH,Factor 5,Factor 3,correlation,-0.30,symmetric_matrix_duplicate,Figure 8:EoH:Factor 3:Factor 5,False,False,False
v2,Figure 8,EoH,Factor 5,Factor 4,correlation,0.24,symmetric_matrix_duplicate,Figure 8:EoH:Factor 4:Factor 5,False,False,False
v2,Figure 8,EoH,Factor 5,Factor 5,correlation,1.00,structural_correlation_diagonal,correlation_self_identity,False,False,False
v2,Figure 8,TreEvo,Factor 1,Factor 1,correlation,1.00,structural_correlation_diagonal,correlation_self_identity,False,False,False
v2,Figure 8,TreEvo,Factor 1,Factor 2,correlation,0.26,none,,True,False,False
v2,Figure 8,TreEvo,Factor 1,Factor 3,correlation,0.13,none,,True,False,False
v2,Figure 8,TreEvo,Factor 1,Factor 4,correlation,-0.18,none,,True,False,False
v2,Figure 8,TreEvo,Factor 1,Factor 5,correlation,0.25,none,,True,False,False
v2,Figure 8,TreEvo,Factor 2,Factor 1,correlation,0.26,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 1:Factor 2,False,False,False
v2,Figure 8,TreEvo,Factor 2,Factor 2,correlation,1.00,structural_correlation_diagonal,correlation_self_identity,False,False,False
v2,Figure 8,TreEvo,Factor 2,Factor 3,correlation,0.10,none,,True,False,False
v2,Figure 8,TreEvo,Factor 2,Factor 4,correlation,-0.46,none,,True,False,False
v2,Figure 8,TreEvo,Factor 2,Factor 5,correlation,0.35,none,,True,False,False
v2,Figure 8,TreEvo,Factor 3,Factor 1,correlation,0.13,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 1:Factor 3,False,False,False
v2,Figure 8,TreEvo,Factor 3,Factor 2,correlation,0.10,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 2:Factor 3,False,False,False
v2,Figure 8,TreEvo,Factor 3,Factor 3,correlation,1.00,structural_correlation_diagonal,correlation_self_identity,False,False,False
v2,Figure 8,TreEvo,Factor 3,Factor 4,correlation,-0.28,none,,True,False,False
v2,Figure 8,TreEvo,Factor 3,Factor 5,correlation,0.24,none,,True,False,False
v2,Figure 8,TreEvo,Factor 4,Factor 1,correlation,-0.18,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 1:Factor 4,False,False,False
v2,Figure 8,TreEvo,Factor 4,Factor 2,correlation,-0.46,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 2:Factor 4,False,False,False
v2,Figure 8,TreEvo,Factor 4,Factor 3,correlation,-0.28,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 3:Factor 4,False,False,False
v2,Figure 8,TreEvo,Factor 4,Factor 4,correlation,1.00,structural_correlation_diagonal,correlation_self_identity,False,False,False
v2,Figure 8,TreEvo,Factor 4,Factor 5,correlation,-0.64,none,,True,False,False
v2,Figure 8,TreEvo,Factor 5,Factor 1,correlation,0.25,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 1:Factor 5,False,False,False
v2,Figure 8,TreEvo,Factor 5,Factor 2,correlation,0.35,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 2:Factor 5,False,False,False
v2,Figure 8,TreEvo,Factor 5,Factor 3,correlation,0.24,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 3:Factor 5,False,False,False
v2,Figure 8,TreEvo,Factor 5,Factor 4,correlation,-0.64,symmetric_matrix_duplicate,Figure 8:TreEvo:Factor 4:Factor 5,False,False,False
v2,Figure 8,TreEvo,Factor 5,Factor 5,correlation,1.00,structural_correlation_diagonal,correlation_self_identity,False,False,False
