file,sha256,summary,negative_search_limit
evidence/github_search_exact_title.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,zero exact-title repository matches,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_search_title_author.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,zero title-plus-author repository matches,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/github_user_search_author.json,4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/huggingface_author_datasets.json,f3e9704f3e35c92777239a8cf26585eb29a3d2a8c758ba163a23e7052cef95a8,21 current public datasets; none attributable to FinVision,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/huggingface_author_models.json,d5e71ea5755b70601c0df15943e97f50559e3597dae2709be32b36cd43a76b1a,74 current public models; none attributable to FinVision,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/huggingface_author_overview.json,0bf2af9218a735f31fd906949e50b4c0a006fbe738409b66d2844dea4f4d5eaa,pinned supporting discovery or identity evidence,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/openai_gpt_4o_mini_model.html,58b6a9cdf368129f9585b685deda6575bf39d56ffc0a64df1aef53c5516b5561,official model page: dated snapshot gpt-4o-mini-2024-07-18; image input supported,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/openai_o1_mini_model.html,ae486dce85f213a6a8fb659c90e4ea4e7b90884a943ae439fd6e0ec02d5d7c61,official model page: o1-mini deprecated; dated snapshot o1-mini-2024-09-12; text-only,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/software_heritage_origin_search_finvision.json,d781129ce12a375147226c5b1a4ca2a39b23704309ce978100ceeaeb351e3aa3,20 name matches inspected; none attributable to paper/authors,absence in searched public indexes is not proof that private or deleted artifacts never existed
evidence/wayback_author_github_cdx.json,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,no wildcard capture recovered for author GitHub path,absence in searched public indexes is not proof that private or deleted artifacts never existed
downloads/arxiv_api.xml,ed9f968cb29bfe6a2940eabe774fa32861485c0144e780d7e8bfbfccdd625034,pinned primary bibliographic/author-hosted metadata,not a system implementation
downloads/arxiv_record.html,c68b12f66975a4f4c1ba1f025664337b062efd9cf390b44f3a2d665ee5a08d6b,pinned primary bibliographic/author-hosted metadata,not a system implementation
downloads/author_research.html,ff6113a4c021010fee1f1c606a5f38b3bbd10ed6346cc7b162c98ac9d5c1578e,pinned primary bibliographic/author-hosted metadata,not a system implementation
downloads/crossref_doi.json,2ff9c1ea88b4951b98c6836ad691a939720ecb47b816ee3be8686cd8a21a2eef,pinned primary bibliographic/author-hosted metadata,not a system implementation
downloads/thesis_metadata.json,def44d19075b8c0f22b89fc31e2201b120f921b83b535d2df0f8916d9783680e,pinned primary bibliographic/author-hosted metadata,not a system implementation
