paper_version,path,bytes,sha256,asset_role,operational_system_code,raw_numeric_result_array,native_signal_or_portfolio_output
2604.17327v1,figures/fig4.pdf,11612,8ca8501768c222a5b78c3d6d30d92c5485bd2528c7a6a7298fb83fcbcffdb092,author_rendered_empirical_figure,False,False,False
2604.17327v1,figures/fig5.pdf,12131,ee8f5041ee7d53f11bd771861f39e9e07f2e8df3a97334dca794b6e330ec6955,author_rendered_empirical_figure,False,False,False
2604.17327v1,figures/fig6.pdf,25173,588c9fc7a3360466b31bbef1c5c810645e22368e0a9e85e67a8ff8a5f3a85672,author_rendered_empirical_figure,False,False,False
2604.17327v1,figures/figA5.pdf,9105,f0360570f904ac278e48e0aa57bcf798fc70befd4fcc4f78f332d4cb3ce2741d,author_rendered_empirical_figure,False,False,False
2604.17327v1,figures/fig_beta_regression.pdf,21378,e629f14d1b45474ec9deba8da7489f34f34564da7cb7f094d6ea801c4f1b4c74,author_rendered_empirical_figure,False,False,False
2604.17327v1,figures/fig_conditional_returns.pdf,12478,74d32a9b63675e6d9a651b0563c1b2f3759d3aa8b5d5fd0cde451d9617c3ef72,author_rendered_empirical_figure,False,False,False
2604.17327v1,figures/fig_return_hist.pdf,36873,9dbdd2121f17a9679840085f7cbec873571d34d0906cce8ac99da7be755fea8f,author_rendered_empirical_figure,False,False,False
2604.17327v1,figures/fig_sector_strongbuy.pdf,31347,ba5362dea8cb0d8453f7758b5de18381e322c8f60b8f83b1a64e4f86ee1e87cf,author_rendered_empirical_figure,False,False,False
2604.17327v1,main.tex,67836,092ecfe6218f3cce14defcd7fdba1d2047606d471fa82e53a2d9f539c007cc04,manuscript_source,False,False,False
2604.17327v1,references.bib,18013,58be7161a9b7e3dfc0857e37ab817bd0ea46ccb2887e04258bfb0360b9bdc89f,manuscript_source,False,False,False
