paper_table,experiment,item,metric,display_cell_id,unique_measurement_id,paper_value,native_reproduced_value,status,paper_result_credit
Table 2 single-asset comparison / part 1,regular_single,TSLA/PPO,CR_pct,regular_single/TSLA/PPO/CR_pct,regular_single/TSLA/PPO/CR_pct,1.409,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/PPO,SR,regular_single/TSLA/PPO/SR,regular_single/TSLA/PPO/SR,0.032,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/PPO,MDD_pct,regular_single/TSLA/PPO/MDD_pct,regular_single/TSLA/PPO/MDD_pct,49.740,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/DQN,CR_pct,regular_single/TSLA/DQN/CR_pct,regular_single/TSLA/DQN/CR_pct,-1.296,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/DQN,SR,regular_single/TSLA/DQN/SR,regular_single/TSLA/DQN/SR,-0.029,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,TSLA/DQN,MDD_pct,regular_single/TSLA/DQN/MDD_pct,regular_single/TSLA/DQN/MDD_pct,58.150,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/B&H,CR_pct,regular_single/AMZN/B&H/CR_pct,regular_single/AMZN/B&H/CR_pct,2.030,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/B&H,SR,regular_single/AMZN/B&H/SR,regular_single/AMZN/B&H/SR,0.072,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/B&H,MDD_pct,regular_single/AMZN/B&H/MDD_pct,regular_single/AMZN/B&H/MDD_pct,34.241,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinCon,CR_pct,regular_single/AMZN/FinCon/CR_pct,regular_single/AMZN/FinCon/CR_pct,24.848,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinCon,SR,regular_single/AMZN/FinCon/SR,regular_single/AMZN/FinCon/SR,0.904,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinCon,MDD_pct,regular_single/AMZN/FinCon/MDD_pct,regular_single/AMZN/FinCon/MDD_pct,25.889,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/GA,CR_pct,regular_single/AMZN/GA/CR_pct,regular_single/AMZN/GA/CR_pct,-5.631,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/GA,SR,regular_single/AMZN/GA/SR,regular_single/AMZN/GA/SR,-0.199,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/GA,MDD_pct,regular_single/AMZN/GA/MDD_pct,regular_single/AMZN/GA/MDD_pct,37.213,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinGPT,CR_pct,regular_single/AMZN/FinGPT/CR_pct,regular_single/AMZN/FinGPT/CR_pct,-29.811,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinGPT,SR,regular_single/AMZN/FinGPT/SR,regular_single/AMZN/FinGPT/SR,-1.810,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinGPT,MDD_pct,regular_single/AMZN/FinGPT/MDD_pct,regular_single/AMZN/FinGPT/MDD_pct,29.671,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinMem,CR_pct,regular_single/AMZN/FinMem/CR_pct,regular_single/AMZN/FinMem/CR_pct,-18.011,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinMem,SR,regular_single/AMZN/FinMem/SR,regular_single/AMZN/FinMem/SR,-0.773,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinMem,MDD_pct,regular_single/AMZN/FinMem/MDD_pct,regular_single/AMZN/FinMem/MDD_pct,36.825,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinAgent,CR_pct,regular_single/AMZN/FinAgent/CR_pct,regular_single/AMZN/FinAgent/CR_pct,-24.588,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinAgent,SR,regular_single/AMZN/FinAgent/SR,regular_single/AMZN/FinAgent/SR,-1.493,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/FinAgent,MDD_pct,regular_single/AMZN/FinAgent/MDD_pct,regular_single/AMZN/FinAgent/MDD_pct,33.074,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/A2C,CR_pct,regular_single/AMZN/A2C/CR_pct,regular_single/AMZN/A2C/CR_pct,-12.560,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/A2C,SR,regular_single/AMZN/A2C/SR,regular_single/AMZN/A2C/SR,-0.444,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/A2C,MDD_pct,regular_single/AMZN/A2C/MDD_pct,regular_single/AMZN/A2C/MDD_pct,37.106,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/PPO,CR_pct,regular_single/AMZN/PPO/CR_pct,regular_single/AMZN/PPO/CR_pct,3.863,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/PPO,SR,regular_single/AMZN/PPO/SR,regular_single/AMZN/PPO/SR,0.138,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/PPO,MDD_pct,regular_single/AMZN/PPO/MDD_pct,regular_single/AMZN/PPO/MDD_pct,28.085,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/DQN,CR_pct,regular_single/AMZN/DQN/CR_pct,regular_single/AMZN/DQN/CR_pct,11.171,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/DQN,SR,regular_single/AMZN/DQN/SR,regular_single/AMZN/DQN/SR,0.398,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,AMZN/DQN,MDD_pct,regular_single/AMZN/DQN/MDD_pct,regular_single/AMZN/DQN/MDD_pct,31.174,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/B&H,CR_pct,regular_single/NIO/B&H/CR_pct,regular_single/NIO/B&H/CR_pct,-77.210,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/B&H,SR,regular_single/NIO/B&H/SR,regular_single/NIO/B&H/SR,-1.449,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/B&H,MDD_pct,regular_single/NIO/B&H/MDD_pct,regular_single/NIO/B&H/MDD_pct,63.975,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinCon,CR_pct,regular_single/NIO/FinCon/CR_pct,regular_single/NIO/FinCon/CR_pct,17.461,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinCon,SR,regular_single/NIO/FinCon/SR,regular_single/NIO/FinCon/SR,0.335,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinCon,MDD_pct,regular_single/NIO/FinCon/MDD_pct,regular_single/NIO/FinCon/MDD_pct,40.647,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/GA,CR_pct,regular_single/NIO/GA/CR_pct,regular_single/NIO/GA/CR_pct,-3.176,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/GA,SR,regular_single/NIO/GA/SR,regular_single/NIO/GA/SR,-1.574,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/GA,MDD_pct,regular_single/NIO/GA/MDD_pct,regular_single/NIO/GA/MDD_pct,3.155,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinGPT,CR_pct,regular_single/NIO/FinGPT/CR_pct,regular_single/NIO/FinGPT/CR_pct,-4.959,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinGPT,SR,regular_single/NIO/FinGPT/SR,regular_single/NIO/FinGPT/SR,-0.121,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinGPT,MDD_pct,regular_single/NIO/FinGPT/MDD_pct,regular_single/NIO/FinGPT/MDD_pct,37.344,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinMem,CR_pct,regular_single/NIO/FinMem/CR_pct,regular_single/NIO/FinMem/CR_pct,-48.437,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinMem,SR,regular_single/NIO/FinMem/SR,regular_single/NIO/FinMem/SR,-1.180,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinMem,MDD_pct,regular_single/NIO/FinMem/MDD_pct,regular_single/NIO/FinMem/MDD_pct,64.144,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinAgent,CR_pct,regular_single/NIO/FinAgent/CR_pct,regular_single/NIO/FinAgent/CR_pct,0.933,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinAgent,SR,regular_single/NIO/FinAgent/SR,regular_single/NIO/FinAgent/SR,0.051,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/FinAgent,MDD_pct,regular_single/NIO/FinAgent/MDD_pct,regular_single/NIO/FinAgent/MDD_pct,19.181,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/A2C,CR_pct,regular_single/NIO/A2C/CR_pct,regular_single/NIO/A2C/CR_pct,-91.910,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/A2C,SR,regular_single/NIO/A2C/SR,regular_single/NIO/A2C/SR,-1.728,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/A2C,MDD_pct,regular_single/NIO/A2C/MDD_pct,regular_single/NIO/A2C/MDD_pct,68.911,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/PPO,CR_pct,regular_single/NIO/PPO/CR_pct,regular_single/NIO/PPO/CR_pct,-72.119,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/PPO,SR,regular_single/NIO/PPO/SR,regular_single/NIO/PPO/SR,-1.352,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/PPO,MDD_pct,regular_single/NIO/PPO/MDD_pct,regular_single/NIO/PPO/MDD_pct,62.093,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/DQN,CR_pct,regular_single/NIO/DQN/CR_pct,regular_single/NIO/DQN/CR_pct,-35.419,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/DQN,SR,regular_single/NIO/DQN/SR,regular_single/NIO/DQN/SR,-0.662,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,NIO/DQN,MDD_pct,regular_single/NIO/DQN/MDD_pct,regular_single/NIO/DQN/MDD_pct,56.905,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/B&H,CR_pct,regular_single/MSFT/B&H/CR_pct,regular_single/MSFT/B&H/CR_pct,27.856,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/B&H,SR,regular_single/MSFT/B&H/SR,regular_single/MSFT/B&H/SR,1.230,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/B&H,MDD_pct,regular_single/MSFT/B&H/MDD_pct,regular_single/MSFT/B&H/MDD_pct,15.010,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinCon,CR_pct,regular_single/MSFT/FinCon/CR_pct,regular_single/MSFT/FinCon/CR_pct,31.625,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinCon,SR,regular_single/MSFT/FinCon/SR,regular_single/MSFT/FinCon/SR,1.538,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinCon,MDD_pct,regular_single/MSFT/FinCon/MDD_pct,regular_single/MSFT/FinCon/MDD_pct,15.010,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/GA,CR_pct,regular_single/MSFT/GA/CR_pct,regular_single/MSFT/GA/CR_pct,-31.821,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/GA,SR,regular_single/MSFT/GA/SR,regular_single/MSFT/GA/SR,-1.414,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/GA,MDD_pct,regular_single/MSFT/GA/MDD_pct,regular_single/MSFT/GA/MDD_pct,39.808,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinGPT,CR_pct,regular_single/MSFT/FinGPT/CR_pct,regular_single/MSFT/FinGPT/CR_pct,21.535,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinGPT,SR,regular_single/MSFT/FinGPT/SR,regular_single/MSFT/FinGPT/SR,1.315,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinGPT,MDD_pct,regular_single/MSFT/FinGPT/MDD_pct,regular_single/MSFT/FinGPT/MDD_pct,16.503,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinMem,CR_pct,regular_single/MSFT/FinMem/CR_pct,regular_single/MSFT/FinMem/CR_pct,-22.036,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinMem,SR,regular_single/MSFT/FinMem/SR,regular_single/MSFT/FinMem/SR,-1.247,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinMem,MDD_pct,regular_single/MSFT/FinMem/MDD_pct,regular_single/MSFT/FinMem/MDD_pct,29.435,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinAgent,CR_pct,regular_single/MSFT/FinAgent/CR_pct,regular_single/MSFT/FinAgent/CR_pct,-27.534,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinAgent,SR,regular_single/MSFT/FinAgent/SR,regular_single/MSFT/FinAgent/SR,-1.247,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/FinAgent,MDD_pct,regular_single/MSFT/FinAgent/MDD_pct,regular_single/MSFT/FinAgent/MDD_pct,39.544,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/A2C,CR_pct,regular_single/MSFT/A2C/CR_pct,regular_single/MSFT/A2C/CR_pct,21.397,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/A2C,SR,regular_single/MSFT/A2C/SR,regular_single/MSFT/A2C/SR,0.962,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/A2C,MDD_pct,regular_single/MSFT/A2C/MDD_pct,regular_single/MSFT/A2C/MDD_pct,21.458,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/PPO,CR_pct,regular_single/MSFT/PPO/CR_pct,regular_single/MSFT/PPO/CR_pct,-4.761,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/PPO,SR,regular_single/MSFT/PPO/SR,regular_single/MSFT/PPO/SR,-0.214,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/PPO,MDD_pct,regular_single/MSFT/PPO/MDD_pct,regular_single/MSFT/PPO/MDD_pct,30.950,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/DQN,CR_pct,regular_single/MSFT/DQN/CR_pct,regular_single/MSFT/DQN/CR_pct,27.021,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/DQN,SR,regular_single/MSFT/DQN/SR,regular_single/MSFT/DQN/SR,1.216,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 1,regular_single,MSFT/DQN,MDD_pct,regular_single/MSFT/DQN/MDD_pct,regular_single/MSFT/DQN/MDD_pct,21.458,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/B&H,CR_pct,regular_single/AAPL/B&H/CR_pct,regular_single/AAPL/B&H/CR_pct,22.315,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/B&H,SR,regular_single/AAPL/B&H/SR,regular_single/AAPL/B&H/SR,1.107,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/B&H,MDD_pct,regular_single/AAPL/B&H/MDD_pct,regular_single/AAPL/B&H/MDD_pct,20.659,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinCon,CR_pct,regular_single/AAPL/FinCon/CR_pct,regular_single/AAPL/FinCon/CR_pct,27.352,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinCon,SR,regular_single/AAPL/FinCon/SR,regular_single/AAPL/FinCon/SR,1.597,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinCon,MDD_pct,regular_single/AAPL/FinCon/MDD_pct,regular_single/AAPL/FinCon/MDD_pct,15.266,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/GA,CR_pct,regular_single/AAPL/GA/CR_pct,regular_single/AAPL/GA/CR_pct,5.694,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/GA,SR,regular_single/AAPL/GA/SR,regular_single/AAPL/GA/SR,0.372,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/GA,MDD_pct,regular_single/AAPL/GA/MDD_pct,regular_single/AAPL/GA/MDD_pct,14.161,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinGPT,CR_pct,regular_single/AAPL/FinGPT/CR_pct,regular_single/AAPL/FinGPT/CR_pct,20.321,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinGPT,SR,regular_single/AAPL/FinGPT/SR,regular_single/AAPL/FinGPT/SR,1.161,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinGPT,MDD_pct,regular_single/AAPL/FinGPT/MDD_pct,regular_single/AAPL/FinGPT/MDD_pct,16.759,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinMem,CR_pct,regular_single/AAPL/FinMem/CR_pct,regular_single/AAPL/FinMem/CR_pct,12.397,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinMem,SR,regular_single/AAPL/FinMem/SR,regular_single/AAPL/FinMem/SR,0.994,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinMem,MDD_pct,regular_single/AAPL/FinMem/MDD_pct,regular_single/AAPL/FinMem/MDD_pct,11.268,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinAgent,CR_pct,regular_single/AAPL/FinAgent/CR_pct,regular_single/AAPL/FinAgent/CR_pct,20.757,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinAgent,SR,regular_single/AAPL/FinAgent/SR,regular_single/AAPL/FinAgent/SR,1.041,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/FinAgent,MDD_pct,regular_single/AAPL/FinAgent/MDD_pct,regular_single/AAPL/FinAgent/MDD_pct,19.896,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/A2C,CR_pct,regular_single/AAPL/A2C/CR_pct,regular_single/AAPL/A2C/CR_pct,13.781,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/A2C,SR,regular_single/AAPL/A2C/SR,regular_single/AAPL/A2C/SR,0.683,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/A2C,MDD_pct,regular_single/AAPL/A2C/MDD_pct,regular_single/AAPL/A2C/MDD_pct,14.226,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/PPO,CR_pct,regular_single/AAPL/PPO/CR_pct,regular_single/AAPL/PPO/CR_pct,14.041,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/PPO,SR,regular_single/AAPL/PPO/SR,regular_single/AAPL/PPO/SR,0.704,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/PPO,MDD_pct,regular_single/AAPL/PPO/MDD_pct,regular_single/AAPL/PPO/MDD_pct,22.785,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/DQN,CR_pct,regular_single/AAPL/DQN/CR_pct,regular_single/AAPL/DQN/CR_pct,21.125,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/DQN,SR,regular_single/AAPL/DQN/SR,regular_single/AAPL/DQN/SR,1.048,,not_reproduced_official_code_and_data_not_released,False
Table 2 single-asset comparison / part 2,regular_single,AAPL/DQN,MDD_pct,regular_single/AAPL/DQN/MDD_pct,regular_single/AAPL/DQN/MDD_pct,16.131,,not_reproduced_official_code_and_data_not_released,False
