table_label,row_index,row_label,quantitative_column_index,printed_cell,unit_definition,source_document_recovered,raw_result_record_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
tab:model_comparison,4,Buy and Hold,5,-0.54,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,6,47.94,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,7,-15.53,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,8,-0.45,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,9,68.91,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,10,6.84,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,11,0.42,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,12,23.08,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,13,-7.65,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,14,-0.01,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,4,Buy and Hold,15,16.73,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,1,-49.21,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,2,-0.63,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,3,74.20,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,4,-46.83,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,5,-0.57,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,6,61.40,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,7,-44.92,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,8,-0.49,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,9,70.30,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,10,-7.42,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,11,-0.18,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,12,27.90,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,13,-9.87,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,14,-0.21,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,5,\Xhline2\arrayrulewidth MACD,15,19.80,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,1,-46.13,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,2,-0.59,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,3,72.80,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,4,-44.28,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,5,-0.54,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,6,59.70,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,7,-42.11,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,8,-0.46,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,9,68.20,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,10,-6.98,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,11,-0.16,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,12,26.70,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,13,-8.65,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,14,-0.19,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,6,RSI,15,19.30,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,1,-92.71,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,2,-1.28,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,3,96.60,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,4,-81.55,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,5,-1.14,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,6,73.40,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,7,-58.24,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,8,-0.61,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,9,72.80,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,10,-5.24,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,11,-0.12,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,12,23.60,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,13,-6.10,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,14,-0.09,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,7,\Xhline2\arrayrulewidth A3C,15,18.60,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,1,-78.25,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,2,-0.77,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,3,80.62,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,4,-72.48,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,5,-0.92,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,6,70.30,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,7,-52.77,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,8,-0.48,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,9,68.10,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,10,0.78,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,11,0.08,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,12,22.10,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,13,-4.25,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,14,-0.06,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,8,DQN,15,18.20,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,1,-73.76,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,2,-0.56,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,3,69.88,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,4,-58.33,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,5,-0.55,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,6,61.40,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,7,-43.12,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,8,-0.39,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,9,64.90,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,10,1.72,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,11,0.02,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,12,21.30,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,13,-2.04,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,14,-0.04,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,9,PPO,15,17.80,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,10,\Xhline2\arrayrulewidth FinGPT,1,-95.19,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,10,\Xhline2\arrayrulewidth FinGPT,2,-1.07,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,10,\Xhline2\arrayrulewidth FinGPT,3,94.36,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,10,\Xhline2\arrayrulewidth FinGPT,4,-85.22,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,10,\Xhline2\arrayrulewidth FinGPT,5,-1.52,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,10,\Xhline2\arrayrulewidth FinGPT,6,74.60,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,10,\Xhline2\arrayrulewidth FinGPT,7,-56.87,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
tab:model_comparison,10,\Xhline2\arrayrulewidth FinGPT,8,-0.54,one populated displayed empirical quantitative table cell,True,False,False,False,False,"no author implementation, prompts, scaled-Kelly/CVaR definition, immutable inputs, model requests/responses, seeds, orders, fills, account path, raw arrays, or result generator"
