cell_index,table_label,finrs_printed_cell,finpos_v1_printed_cell,exact_display_match,lineage_interpretation
37,tab:model_comparison,-44.92,-44.92,True,"displayed-value reuse, not an independently regenerated result"
38,tab:model_comparison,-0.49,-0.49,True,"displayed-value reuse, not an independently regenerated result"
39,tab:model_comparison,70.30,70.30,True,"displayed-value reuse, not an independently regenerated result"
40,tab:model_comparison,-7.42,-7.42,True,"displayed-value reuse, not an independently regenerated result"
41,tab:model_comparison,-0.18,-0.18,True,"displayed-value reuse, not an independently regenerated result"
42,tab:model_comparison,27.90,27.90,True,"displayed-value reuse, not an independently regenerated result"
43,tab:model_comparison,-9.87,-9.87,True,"displayed-value reuse, not an independently regenerated result"
44,tab:model_comparison,-0.21,-0.21,True,"displayed-value reuse, not an independently regenerated result"
45,tab:model_comparison,19.80,19.80,True,"displayed-value reuse, not an independently regenerated result"
46,tab:model_comparison,-46.13,-46.13,True,"displayed-value reuse, not an independently regenerated result"
47,tab:model_comparison,-0.59,-0.59,True,"displayed-value reuse, not an independently regenerated result"
48,tab:model_comparison,72.80,72.80,True,"displayed-value reuse, not an independently regenerated result"
49,tab:model_comparison,-44.28,-44.28,True,"displayed-value reuse, not an independently regenerated result"
50,tab:model_comparison,-0.54,-0.54,True,"displayed-value reuse, not an independently regenerated result"
51,tab:model_comparison,59.70,59.70,True,"displayed-value reuse, not an independently regenerated result"
52,tab:model_comparison,-42.11,-42.11,True,"displayed-value reuse, not an independently regenerated result"
53,tab:model_comparison,-0.46,-0.46,True,"displayed-value reuse, not an independently regenerated result"
54,tab:model_comparison,68.20,68.20,True,"displayed-value reuse, not an independently regenerated result"
55,tab:model_comparison,-6.98,-6.98,True,"displayed-value reuse, not an independently regenerated result"
56,tab:model_comparison,-0.16,-0.16,True,"displayed-value reuse, not an independently regenerated result"
57,tab:model_comparison,26.70,26.70,True,"displayed-value reuse, not an independently regenerated result"
58,tab:model_comparison,-8.65,-8.65,True,"displayed-value reuse, not an independently regenerated result"
59,tab:model_comparison,-0.19,-0.19,True,"displayed-value reuse, not an independently regenerated result"
60,tab:model_comparison,19.30,19.30,True,"displayed-value reuse, not an independently regenerated result"
61,tab:model_comparison,-92.71,-92.71,True,"displayed-value reuse, not an independently regenerated result"
62,tab:model_comparison,-1.28,-1.28,True,"displayed-value reuse, not an independently regenerated result"
63,tab:model_comparison,96.60,96.60,True,"displayed-value reuse, not an independently regenerated result"
64,tab:model_comparison,-81.55,-81.55,True,"displayed-value reuse, not an independently regenerated result"
65,tab:model_comparison,-1.14,-1.14,True,"displayed-value reuse, not an independently regenerated result"
66,tab:model_comparison,73.40,73.40,True,"displayed-value reuse, not an independently regenerated result"
67,tab:model_comparison,-58.24,-58.24,True,"displayed-value reuse, not an independently regenerated result"
68,tab:model_comparison,-0.61,-0.61,True,"displayed-value reuse, not an independently regenerated result"
69,tab:model_comparison,72.80,72.80,True,"displayed-value reuse, not an independently regenerated result"
70,tab:model_comparison,-5.24,-5.24,True,"displayed-value reuse, not an independently regenerated result"
71,tab:model_comparison,-0.12,-0.12,True,"displayed-value reuse, not an independently regenerated result"
72,tab:model_comparison,23.60,23.60,True,"displayed-value reuse, not an independently regenerated result"
73,tab:model_comparison,-6.10,-6.10,True,"displayed-value reuse, not an independently regenerated result"
74,tab:model_comparison,-0.09,-0.09,True,"displayed-value reuse, not an independently regenerated result"
75,tab:model_comparison,18.60,18.60,True,"displayed-value reuse, not an independently regenerated result"
76,tab:model_comparison,-78.25,-78.25,True,"displayed-value reuse, not an independently regenerated result"
77,tab:model_comparison,-0.77,-0.77,True,"displayed-value reuse, not an independently regenerated result"
78,tab:model_comparison,80.62,80.62,True,"displayed-value reuse, not an independently regenerated result"
79,tab:model_comparison,-72.48,-72.48,True,"displayed-value reuse, not an independently regenerated result"
80,tab:model_comparison,-0.92,-0.92,True,"displayed-value reuse, not an independently regenerated result"
81,tab:model_comparison,70.30,70.30,True,"displayed-value reuse, not an independently regenerated result"
82,tab:model_comparison,-52.77,-52.77,True,"displayed-value reuse, not an independently regenerated result"
83,tab:model_comparison,-0.48,-0.48,True,"displayed-value reuse, not an independently regenerated result"
84,tab:model_comparison,68.10,68.10,True,"displayed-value reuse, not an independently regenerated result"
85,tab:model_comparison,0.78,0.78,True,"displayed-value reuse, not an independently regenerated result"
86,tab:model_comparison,0.08,0.08,True,"displayed-value reuse, not an independently regenerated result"
87,tab:model_comparison,22.10,22.10,True,"displayed-value reuse, not an independently regenerated result"
88,tab:model_comparison,-4.25,-4.25,True,"displayed-value reuse, not an independently regenerated result"
89,tab:model_comparison,-0.06,-0.06,True,"displayed-value reuse, not an independently regenerated result"
90,tab:model_comparison,18.20,18.20,True,"displayed-value reuse, not an independently regenerated result"
91,tab:model_comparison,-73.76,-73.76,True,"displayed-value reuse, not an independently regenerated result"
92,tab:model_comparison,-0.56,-0.56,True,"displayed-value reuse, not an independently regenerated result"
93,tab:model_comparison,69.88,69.88,True,"displayed-value reuse, not an independently regenerated result"
94,tab:model_comparison,-58.33,-58.33,True,"displayed-value reuse, not an independently regenerated result"
95,tab:model_comparison,-0.55,-0.55,True,"displayed-value reuse, not an independently regenerated result"
96,tab:model_comparison,61.40,61.40,True,"displayed-value reuse, not an independently regenerated result"
97,tab:model_comparison,-43.12,-43.12,True,"displayed-value reuse, not an independently regenerated result"
98,tab:model_comparison,-0.39,-0.39,True,"displayed-value reuse, not an independently regenerated result"
99,tab:model_comparison,64.90,64.90,True,"displayed-value reuse, not an independently regenerated result"
100,tab:model_comparison,1.72,1.72,True,"displayed-value reuse, not an independently regenerated result"
101,tab:model_comparison,0.02,0.02,True,"displayed-value reuse, not an independently regenerated result"
102,tab:model_comparison,21.30,21.30,True,"displayed-value reuse, not an independently regenerated result"
103,tab:model_comparison,-2.04,-2.04,True,"displayed-value reuse, not an independently regenerated result"
104,tab:model_comparison,-0.04,-0.04,True,"displayed-value reuse, not an independently regenerated result"
105,tab:model_comparison,17.80,17.80,True,"displayed-value reuse, not an independently regenerated result"
106,tab:model_comparison,-95.19,-95.19,True,"displayed-value reuse, not an independently regenerated result"
107,tab:model_comparison,-1.07,-1.07,True,"displayed-value reuse, not an independently regenerated result"
108,tab:model_comparison,94.36,94.36,True,"displayed-value reuse, not an independently regenerated result"
109,tab:model_comparison,-85.22,-85.22,True,"displayed-value reuse, not an independently regenerated result"
110,tab:model_comparison,-1.52,-1.52,True,"displayed-value reuse, not an independently regenerated result"
111,tab:model_comparison,74.60,74.60,True,"displayed-value reuse, not an independently regenerated result"
112,tab:model_comparison,-56.87,-56.87,True,"displayed-value reuse, not an independently regenerated result"
113,tab:model_comparison,-0.54,-0.54,True,"displayed-value reuse, not an independently regenerated result"
114,tab:model_comparison,70.30,70.30,True,"displayed-value reuse, not an independently regenerated result"
115,tab:model_comparison,2.01,2.01,True,"displayed-value reuse, not an independently regenerated result"
116,tab:model_comparison,0.01,0.01,True,"displayed-value reuse, not an independently regenerated result"
117,tab:model_comparison,22.30,22.30,True,"displayed-value reuse, not an independently regenerated result"
118,tab:model_comparison,-3.63,-3.63,True,"displayed-value reuse, not an independently regenerated result"
119,tab:model_comparison,-0.04,-0.04,True,"displayed-value reuse, not an independently regenerated result"
120,tab:model_comparison,17.00,17.00,True,"displayed-value reuse, not an independently regenerated result"
121,tab:model_comparison,-74.31,-74.31,True,"displayed-value reuse, not an independently regenerated result"
122,tab:model_comparison,-0.89,-0.89,True,"displayed-value reuse, not an independently regenerated result"
123,tab:model_comparison,85.65,85.65,True,"displayed-value reuse, not an independently regenerated result"
124,tab:model_comparison,-78.00,-78.00,True,"displayed-value reuse, not an independently regenerated result"
125,tab:model_comparison,-1.09,-1.09,True,"displayed-value reuse, not an independently regenerated result"
126,tab:model_comparison,71.50,71.50,True,"displayed-value reuse, not an independently regenerated result"
127,tab:model_comparison,-49.64,-49.64,True,"displayed-value reuse, not an independently regenerated result"
128,tab:model_comparison,-0.53,-0.53,True,"displayed-value reuse, not an independently regenerated result"
129,tab:model_comparison,61.20,61.20,True,"displayed-value reuse, not an independently regenerated result"
130,tab:model_comparison,1.12,1.12,True,"displayed-value reuse, not an independently regenerated result"
131,tab:model_comparison,0.02,0.02,True,"displayed-value reuse, not an independently regenerated result"
132,tab:model_comparison,21.50,21.50,True,"displayed-value reuse, not an independently regenerated result"
133,tab:model_comparison,-2.10,-2.10,True,"displayed-value reuse, not an independently regenerated result"
134,tab:model_comparison,-0.03,-0.03,True,"displayed-value reuse, not an independently regenerated result"
135,tab:model_comparison,17.50,17.50,True,"displayed-value reuse, not an independently regenerated result"
136,tab:model_comparison,-44.03,-44.03,True,"displayed-value reuse, not an independently regenerated result"
137,tab:model_comparison,-0.52,-0.52,True,"displayed-value reuse, not an independently regenerated result"
138,tab:model_comparison,72.10,72.10,True,"displayed-value reuse, not an independently regenerated result"
139,tab:model_comparison,-45.88,-45.88,True,"displayed-value reuse, not an independently regenerated result"
140,tab:model_comparison,-0.54,-0.54,True,"displayed-value reuse, not an independently regenerated result"
141,tab:model_comparison,47.80,47.80,True,"displayed-value reuse, not an independently regenerated result"
142,tab:model_comparison,-41.21,-41.21,True,"displayed-value reuse, not an independently regenerated result"
143,tab:model_comparison,-0.36,-0.36,True,"displayed-value reuse, not an independently regenerated result"
144,tab:model_comparison,66.10,66.10,True,"displayed-value reuse, not an independently regenerated result"
145,tab:model_comparison,0.41,0.41,True,"displayed-value reuse, not an independently regenerated result"
146,tab:model_comparison,0.05,0.05,True,"displayed-value reuse, not an independently regenerated result"
147,tab:model_comparison,25.20,25.20,True,"displayed-value reuse, not an independently regenerated result"
148,tab:model_comparison,0.13,0.13,True,"displayed-value reuse, not an independently regenerated result"
149,tab:model_comparison,0.01,0.01,True,"displayed-value reuse, not an independently regenerated result"
150,tab:model_comparison,19.20,19.20,True,"displayed-value reuse, not an independently regenerated result"
151,tab:model_comparison,7.76,7.76,True,"displayed-value reuse, not an independently regenerated result"
152,tab:model_comparison,0.38,0.38,True,"displayed-value reuse, not an independently regenerated result"
153,tab:model_comparison,59.13,59.13,True,"displayed-value reuse, not an independently regenerated result"
154,tab:model_comparison,-16.02,-16.02,True,"displayed-value reuse, not an independently regenerated result"
155,tab:model_comparison,-0.13,-0.13,True,"displayed-value reuse, not an independently regenerated result"
156,tab:model_comparison,29.03,29.03,True,"displayed-value reuse, not an independently regenerated result"
157,tab:model_comparison,-3.30,-3.30,True,"displayed-value reuse, not an independently regenerated result"
158,tab:model_comparison,-0.02,-0.02,True,"displayed-value reuse, not an independently regenerated result"
159,tab:model_comparison,54.77,54.77,True,"displayed-value reuse, not an independently regenerated result"
160,tab:model_comparison,7.92,7.92,True,"displayed-value reuse, not an independently regenerated result"
161,tab:model_comparison,0.63,0.63,True,"displayed-value reuse, not an independently regenerated result"
162,tab:model_comparison,20.70,20.70,True,"displayed-value reuse, not an independently regenerated result"
163,tab:model_comparison,7.35,7.35,True,"displayed-value reuse, not an independently regenerated result"
164,tab:model_comparison,1.03,\textbf1.03,True,"displayed-value reuse, not an independently regenerated result"
165,tab:model_comparison,15.10,15.10,True,"displayed-value reuse, not an independently regenerated result"
166,tab:model_comparison,54.99,\textbf54.99,True,"displayed-value reuse, not an independently regenerated result"
167,tab:model_comparison,0.67,\textbf0.67,True,"displayed-value reuse, not an independently regenerated result"
168,tab:model_comparison,42.34,\textbf42.34,True,"displayed-value reuse, not an independently regenerated result"
169,tab:model_comparison,60.28,\textbf60.28,True,"displayed-value reuse, not an independently regenerated result"
170,tab:model_comparison,0.69,\textbf0.69,True,"displayed-value reuse, not an independently regenerated result"
171,tab:model_comparison,18.44,\textbf18.44,True,"displayed-value reuse, not an independently regenerated result"
172,tab:model_comparison,52.10,\textbf52.10,True,"displayed-value reuse, not an independently regenerated result"
173,tab:model_comparison,0.64,\textbf0.64,True,"displayed-value reuse, not an independently regenerated result"
174,tab:model_comparison,36.92,\textbf36.92,True,"displayed-value reuse, not an independently regenerated result"
175,tab:model_comparison,16.85,\textbf16.85,True,"displayed-value reuse, not an independently regenerated result"
176,tab:model_comparison,0.87,\textbf0.87,True,"displayed-value reuse, not an independently regenerated result"
177,tab:model_comparison,20.05,\textbf20.05,True,"displayed-value reuse, not an independently regenerated result"
178,tab:model_comparison,14.74,\textbf14.74,True,"displayed-value reuse, not an independently regenerated result"
179,tab:model_comparison,0.92,0.92,True,"displayed-value reuse, not an independently regenerated result"
180,tab:model_comparison,14.05,\textbf14.05,True,"displayed-value reuse, not an independently regenerated result"
181,tab:ablation_single,39.19,39.19,True,"displayed-value reuse, not an independently regenerated result"
182,tab:ablation_single,0.45,0.45,True,"displayed-value reuse, not an independently regenerated result"
183,tab:ablation_single,82.89,82.89,True,"displayed-value reuse, not an independently regenerated result"
184,tab:ablation_single,45.96,45.96,True,"displayed-value reuse, not an independently regenerated result"
185,tab:ablation_single,0.49,0.49,True,"displayed-value reuse, not an independently regenerated result"
186,tab:ablation_single,36.10,36.10,True,"displayed-value reuse, not an independently regenerated result"
187,tab:ablation_single,36.98,36.98,True,"displayed-value reuse, not an independently regenerated result"
188,tab:ablation_single,0.43,0.43,True,"displayed-value reuse, not an independently regenerated result"
189,tab:ablation_single,73.71,73.71,True,"displayed-value reuse, not an independently regenerated result"
190,tab:ablation_single,41.57,41.57,True,"displayed-value reuse, not an independently regenerated result"
191,tab:ablation_single,0.49,0.49,True,"displayed-value reuse, not an independently regenerated result"
192,tab:ablation_single,48.78,48.78,True,"displayed-value reuse, not an independently regenerated result"
193,tab:ablation_single,48.57,48.57,True,"displayed-value reuse, not an independently regenerated result"
194,tab:ablation_single,0.54,0.54,True,"displayed-value reuse, not an independently regenerated result"
195,tab:ablation_single,21.24,21.24,True,"displayed-value reuse, not an independently regenerated result"
196,tab:ablation_single,39.38,39.38,True,"displayed-value reuse, not an independently regenerated result"
197,tab:ablation_single,0.50,0.50,True,"displayed-value reuse, not an independently regenerated result"
198,tab:ablation_single,41.76,41.76,True,"displayed-value reuse, not an independently regenerated result"
199,tab:ablation_single,45.41,44.35,False,"displayed-value reuse, not an independently regenerated result"
200,tab:ablation_single,0.53,0.55,False,"displayed-value reuse, not an independently regenerated result"
201,tab:ablation_single,55.40,53.27,False,"displayed-value reuse, not an independently regenerated result"
202,tab:ablation_single,52.78,50.64,False,"displayed-value reuse, not an independently regenerated result"
203,tab:ablation_single,0.60,0.59,False,"displayed-value reuse, not an independently regenerated result"
204,tab:ablation_single,24.13,24.25,False,"displayed-value reuse, not an independently regenerated result"
205,tab:ablation_single,43.67,42.19,False,"displayed-value reuse, not an independently regenerated result"
206,tab:ablation_single,0.55,0.56,False,"displayed-value reuse, not an independently regenerated result"
207,tab:ablation_single,49.53,47.57,False,"displayed-value reuse, not an independently regenerated result"
208,tab:ablation_single,48.68,48.68,True,"displayed-value reuse, not an independently regenerated result"
209,tab:ablation_single,0.59,0.59,True,"displayed-value reuse, not an independently regenerated result"
210,tab:ablation_single,59.07,59.07,True,"displayed-value reuse, not an independently regenerated result"
211,tab:ablation_single,57.36,57.36,True,"displayed-value reuse, not an independently regenerated result"
212,tab:ablation_single,0.66,0.66,True,"displayed-value reuse, not an independently regenerated result"
213,tab:ablation_single,25.73,25.73,True,"displayed-value reuse, not an independently regenerated result"
214,tab:ablation_single,47.24,47.24,True,"displayed-value reuse, not an independently regenerated result"
215,tab:ablation_single,0.60,0.60,True,"displayed-value reuse, not an independently regenerated result"
216,tab:ablation_single,51.50,51.50,True,"displayed-value reuse, not an independently regenerated result"
217,tab:ablation_single,54.99,\textbf54.99,True,"displayed-value reuse, not an independently regenerated result"
218,tab:ablation_single,0.67,\textbf0.67,True,"displayed-value reuse, not an independently regenerated result"
219,tab:ablation_single,42.34,\textbf42.34,True,"displayed-value reuse, not an independently regenerated result"
220,tab:ablation_single,60.28,\textbf60.28,True,"displayed-value reuse, not an independently regenerated result"
221,tab:ablation_single,0.69,\textbf0.69,True,"displayed-value reuse, not an independently regenerated result"
222,tab:ablation_single,18.44,\textbf18.44,True,"displayed-value reuse, not an independently regenerated result"
223,tab:ablation_single,52.10,\textbf52.10,True,"displayed-value reuse, not an independently regenerated result"
224,tab:ablation_single,0.64,\textbf0.64,True,"displayed-value reuse, not an independently regenerated result"
225,tab:ablation_single,36.92,\textbf36.92,True,"displayed-value reuse, not an independently regenerated result"
