protocol,price_column,paper_table,family_or_setting,method,metric,paper_value,current_input_value,absolute_error,display_tolerance,display_precision_match,paper_result_credit,evidence_boundary
full_period_released_evaluator,adjusted_close,5,Market,B&H,GOOGL_arr_pct,-14.49,-16.532934661377794,2.042934661377794,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,11,Market,B&H,TSLA_sr,-0.2,-0.10277570828723323,0.09722429171276678,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,11,Market,B&H,TSLA_mdd_pct,44.1,48.18673442760602,4.086734427606018,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,11,Market,B&H,average_arr_pct,12.9,12.860508986237118,0.03949101376288233,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,11,Market,B&H,average_sr,0.57,0.36319742252722875,0.2068025774727712,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,adjusted_close,11,Market,B&H,average_mdd_pct,31.13,33.91321547297337,2.783215472973371,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,adjusted_close,12,rolling,Buy & Hold,GOOGL_arr_pct,-23.02,-23.937650488393977,0.9176504883939778,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,adjusted_close,12,rolling,Buy & Hold,META_arr_pct,2.74,1.308321156921004,1.4316788430789962,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,adjusted_close,12,rolling,Buy & Hold,MSFT_arr_pct,50.37,45.43250692271459,4.93749307728541,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,adjusted_close,12,rolling,Buy & Hold,NVDA_arr_pct,40.6,39.80878127530143,0.7912187246985738,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,adjusted_close,12,rolling,Buy & Hold,TSLA_arr_pct,45.71,45.70765313511037,0.002346864889631206,0.0050000000010000005,True,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,adjusted_close,12,rolling,Buy & Hold,average_arr_pct,23.28,21.663922400330684,1.6160775996693175,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,adjusted_close,12,rolling,Buy & Hold,average_sr,-0.01,-0.02228336062650409,0.01228336062650409,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,adjusted_close,12,rolling,Buy & Hold,average_mdd_pct,25.01,25.050189344044856,0.040189344044854636,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,adjusted_close,12,rolling,Buy & Hold,GOOGL_arr_pct,-23.02,-25.305855723256464,2.2858557232564642,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,adjusted_close,12,rolling,Buy & Hold,META_arr_pct,2.74,-2.2988564089275867,5.038856408927587,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,adjusted_close,12,rolling,Buy & Hold,MSFT_arr_pct,50.37,38.75107347728594,11.618926522714055,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,adjusted_close,12,rolling,Buy & Hold,NVDA_arr_pct,40.6,29.107442023647234,11.492557976352767,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,adjusted_close,12,rolling,Buy & Hold,TSLA_arr_pct,45.71,19.961889076204198,25.748110923795803,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,adjusted_close,12,rolling,Buy & Hold,average_arr_pct,23.28,12.043138488990664,11.236861511009337,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,adjusted_close,12,rolling,Buy & Hold,average_sr,-0.01,-0.013075317651618568,0.0030753176516185674,0.0050000000010000005,True,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,adjusted_close,12,rolling,Buy & Hold,average_mdd_pct,25.01,25.909274904583867,0.8992749045838657,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,5,Market,B&H,GOOGL_arr_pct,-14.49,-16.055983560271358,1.5659835602713574,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,5,Market,B&H,META_arr_pct,45.64,50.17535009437333,4.535350094373328,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,5,Market,B&H,MSFT_arr_pct,36.8,40.32474815473353,3.5247481547335298,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,5,Market,B&H,NVDA_arr_pct,25.47,26.70776343946242,1.2377634394624195,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,5,Market,B&H,TSLA_arr_pct,-28.91,-32.89039660199502,3.9803966019950217,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,5,Market,B&H,average_arr_pct,12.9,13.652296305260577,0.7522963052605771,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,5,Market,B&H,average_sr,0.57,0.3758752314356805,0.19412476856431943,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,5,Market,B&H,average_mdd_pct,31.13,33.973661705174635,2.843661705174636,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,10,Market,B&H,GOOGL_arr_pct,-14.49,-16.055983560271358,1.5659835602713574,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,10,Market,B&H,GOOGL_sr,-0.35,-0.2157555598480343,0.13424444015196568,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,10,Market,B&H,GOOGL_mdd_pct,27.35,29.8846297076315,2.534629707631499,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,10,Market,B&H,META_arr_pct,45.64,50.17535009437333,4.535350094373328,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,10,Market,B&H,META_sr,1.25,0.8088878393340175,0.44111216066598247,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,10,Market,B&H,META_mdd_pct,31.59,34.1962334796753,2.6062334796753,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,10,Market,B&H,MSFT_arr_pct,36.8,40.32474815473353,3.5247481547335298,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,10,Market,B&H,MSFT_sr,1.41,0.9043657561602312,0.5056342438397687,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,10,Market,B&H,MSFT_mdd_pct,18.79,20.70837801923083,1.9183780192308326,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,11,Market,B&H,NVDA_arr_pct,25.47,26.70776343946242,1.2377634394624195,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,11,Market,B&H,NVDA_sr,0.74,0.4846538298194214,0.2553461701805786,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,11,Market,B&H,NVDA_mdd_pct,33.83,36.892332891729524,3.0623328917295254,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,11,Market,B&H,TSLA_arr_pct,-28.91,-32.89039660199502,3.9803966019950217,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,11,Market,B&H,TSLA_sr,-0.2,-0.10277570828723323,0.09722429171276678,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,11,Market,B&H,TSLA_mdd_pct,44.1,48.18673442760602,4.086734427606018,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,11,Market,B&H,average_arr_pct,12.9,13.652296305260577,0.7522963052605771,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,11,Market,B&H,average_sr,0.57,0.3758752314356805,0.19412476856431943,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
full_period_released_evaluator,unadjusted_close,11,Market,B&H,average_mdd_pct,31.13,33.973661705174635,2.843661705174636,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,unadjusted_close,12,rolling,Buy & Hold,GOOGL_arr_pct,-23.02,-22.782956639207153,0.23704336079284616,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,unadjusted_close,12,rolling,Buy & Hold,META_arr_pct,2.74,2.981510207221609,0.24151020722160865,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,unadjusted_close,12,rolling,Buy & Hold,MSFT_arr_pct,50.37,50.70862529490991,0.3386252949099102,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,unadjusted_close,12,rolling,Buy & Hold,NVDA_arr_pct,40.6,40.62801400881757,0.028014008817571323,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,unadjusted_close,12,rolling,Buy & Hold,TSLA_arr_pct,45.71,45.70765313511037,0.002346864889631206,0.0050000000010000005,True,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,unadjusted_close,12,rolling,Buy & Hold,average_arr_pct,23.28,23.448569201370464,0.16856920137046316,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,unadjusted_close,12,rolling,Buy & Hold,average_sr,-0.01,-0.0021079617948553107,0.00789203820514469,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_released_60_observations_step_5,unadjusted_close,12,rolling,Buy & Hold,average_mdd_pct,25.01,25.024435604140734,0.01443560414073275,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,unadjusted_close,12,rolling,Buy & Hold,GOOGL_arr_pct,-23.02,-24.230041226974013,1.2100412269740133,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,unadjusted_close,12,rolling,Buy & Hold,META_arr_pct,2.74,-0.7917175849577595,3.5317175849577596,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,unadjusted_close,12,rolling,Buy & Hold,MSFT_arr_pct,50.37,43.563053407117756,6.806946592882241,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,unadjusted_close,12,rolling,Buy & Hold,NVDA_arr_pct,40.6,29.81866935208018,10.78133064791982,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,unadjusted_close,12,rolling,Buy & Hold,TSLA_arr_pct,45.71,19.961889076204198,25.748110923795803,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,unadjusted_close,12,rolling,Buy & Hold,average_arr_pct,23.28,13.664370604694074,9.615629395305927,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,unadjusted_close,12,rolling,Buy & Hold,average_sr,-0.01,0.006132344033011906,0.016132344033011906,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
rolling_paper_3_calendar_months_step_7_days,unadjusted_close,12,rolling,Buy & Hold,average_mdd_pct,25.01,25.8395862653983,0.8295862653982979,0.0050000000010000005,False,False,pinned current Yahoo inputs; paper-time snapshot unavailable
