formation_month,trailing_three_month_market_return,risk_character,finite_scores,shallow_memory_coverage,shallow_mean_retrieved,intermediate_memory_coverage,intermediate_mean_retrieved,deep_memory_coverage,deep_mean_retrieved
2003-06-30,0.17751832298952896,risk_seeking,992,992,4.907,980,4.847,836,4.133
2003-07-31,0.11271360213006232,risk_seeking,994,994,4.914,982,4.853,836,4.128
2003-08-31,0.07364270435726783,risk_seeking,988,988,4.891,978,4.836,843,4.138
2003-09-30,0.0464603053995396,risk_seeking,990,989,4.908,979,4.854,841,4.145
2003-10-31,0.08647423624347583,risk_seeking,984,984,4.875,975,4.831,841,4.144
2003-11-30,0.07429407013477984,risk_seeking,988,987,4.88,976,4.83,841,4.147
2003-12-31,0.1368038163081151,risk_seeking,990,989,4.9,979,4.853,836,4.149
2004-01-31,0.09204937504306931,risk_seeking,990,989,4.893,977,4.841,835,4.139
2004-02-29,0.09635889977305157,risk_seeking,984,983,4.863,972,4.81,830,4.114
2004-03-31,0.033332655560048385,risk_seeking,990,989,4.895,979,4.836,833,4.122
2004-04-30,-0.0004719398795824947,risk_averse,979,979,4.836,969,4.784,829,4.098
2004-05-31,-0.003723729060476022,risk_averse,990,989,4.874,975,4.819,845,4.137
2004-06-30,0.02819563742656861,risk_seeking,987,986,4.865,970,4.806,839,4.122
2004-07-31,0.006418581990870198,risk_seeking,981,980,4.837,964,4.774,837,4.125
2004-08-31,-0.002804098447984127,risk_averse,980,978,4.829,961,4.76,836,4.117
2004-09-30,-0.005177865634539369,risk_averse,982,980,4.833,964,4.758,834,4.116
2004-10-31,0.04573758804368144,risk_seeking,989,988,4.865,966,4.778,836,4.137
2004-11-30,0.08767828947732159,risk_seeking,984,984,4.844,961,4.754,835,4.134
2004-12-31,0.10874855499501779,risk_seeking,988,986,4.866,959,4.758,841,4.164
2005-01-31,0.06573661315074997,risk_seeking,984,982,4.854,962,4.752,842,4.168
2005-02-28,0.04525313881144877,risk_seeking,986,984,4.845,962,4.738,845,4.156
2005-03-31,-0.004993631054111547,risk_averse,986,986,4.861,967,4.762,845,4.167
2005-04-30,0.0001774180471640907,risk_seeking,991,991,4.887,970,4.784,845,4.17
2005-05-31,0.013004593666864794,risk_seeking,986,985,4.866,967,4.774,854,4.168
2005-06-30,0.03333826181040789,risk_seeking,989,988,4.876,968,4.781,858,4.195
2005-07-31,0.09440366076540396,risk_seeking,989,987,4.868,968,4.765,858,4.202
2005-08-31,0.04798237748659706,risk_seeking,979,977,4.818,960,4.718,854,4.182
2005-09-30,0.05246783807061561,risk_seeking,983,981,4.819,965,4.725,852,4.181
2005-10-31,-0.0018866068004484982,risk_averse,986,984,4.825,967,4.735,851,4.174
2005-11-30,0.0444637954126923,risk_seeking,987,984,4.847,967,4.764,856,4.212
2005-12-31,0.03485455777410351,risk_seeking,989,988,4.868,972,4.787,864,4.262
2006-01-31,0.0830126782625622,risk_seeking,981,981,4.836,964,4.753,855,4.224
2006-02-28,0.04414081597310582,risk_seeking,986,986,4.863,971,4.782,856,4.236
2006-03-31,0.060118182796206954,risk_seeking,981,981,4.844,967,4.766,855,4.226
2006-04-30,0.04030452380472682,risk_seeking,980,980,4.819,965,4.741,849,4.173
2006-05-31,0.009595116043757512,risk_seeking,977,976,4.792,959,4.713,855,4.153
2006-06-30,-0.004206639793400413,risk_averse,981,977,4.781,962,4.703,864,4.177
2006-07-31,-0.014078839424374046,risk_averse,986,982,4.825,967,4.75,860,4.206
2006-08-31,0.040032015038724555,risk_seeking,989,986,4.852,971,4.78,870,4.257
2006-09-30,0.06340909095200842,risk_seeking,989,989,4.871,968,4.79,865,4.271
2006-10-31,0.09696699317568047,risk_seeking,985,985,4.854,966,4.771,865,4.272
2006-11-30,0.0918790920903021,risk_seeking,979,978,4.829,957,4.732,864,4.27
2006-12-31,0.07950865897794102,risk_seeking,981,980,4.852,961,4.751,861,4.27
2007-01-31,0.06322896660392252,risk_seeking,984,983,4.866,961,4.76,865,4.295
2007-02-28,0.023988098925781687,risk_seeking,982,981,4.853,960,4.747,863,4.289
2007-03-31,0.022519987595741586,risk_seeking,988,988,4.854,965,4.748,870,4.302
2007-04-30,0.045024605056403155,risk_seeking,979,979,4.813,956,4.707,850,4.201
2007-05-31,0.10189115513614788,risk_seeking,983,981,4.838,959,4.729,868,4.224
2007-06-30,0.07193930194425247,risk_seeking,980,980,4.842,960,4.734,868,4.246
2007-07-31,0.0004653921115391757,risk_seeking,973,973,4.797,954,4.691,866,4.239
2007-08-31,-0.021144883680818016,risk_averse,977,977,4.807,956,4.703,864,4.244
2007-09-30,0.03339806266871381,risk_seeking,985,984,4.819,959,4.712,873,4.285
2007-10-31,0.09209430308095246,risk_seeking,976,975,4.782,952,4.674,868,4.261
2007-11-30,0.03653021909813625,risk_seeking,967,966,4.728,945,4.619,863,4.214
2007-12-31,-0.003955363953871971,risk_averse,975,974,4.757,956,4.649,863,4.221
2008-01-31,-0.08279705033736962,risk_averse,983,982,4.813,964,4.71,867,4.256
2008-02-29,-0.06774751400344736,risk_averse,978,978,4.795,959,4.698,864,4.246
2008-03-31,-0.0685659733887195,risk_averse,986,986,4.804,962,4.709,867,4.262
2008-04-30,0.03848432950455716,risk_seeking,983,983,4.819,962,4.723,862,4.241
2008-05-31,0.08505157422138376,risk_seeking,982,980,4.829,962,4.734,879,4.263
2008-06-30,0.009587282313619605,risk_seeking,972,970,4.772,953,4.673,874,4.243
2008-07-31,-0.0393290885755645,risk_averse,976,975,4.786,957,4.69,870,4.234
2008-08-31,-0.044500260445629714,risk_averse,989,987,4.848,968,4.762,882,4.318
2008-09-30,-0.04369743125104486,risk_averse,968,967,4.762,952,4.676,855,4.222
2008-10-31,-0.18779914617324156,risk_averse,970,967,4.71,950,4.625,851,4.155
2008-11-30,-0.24753759354020288,risk_averse,970,967,4.666,952,4.59,850,4.12
2008-12-31,-0.17132933174340592,risk_averse,983,980,4.71,968,4.641,858,4.153
2009-01-31,-0.09108799770329956,risk_averse,986,986,4.779,972,4.705,876,4.257
2009-02-28,-0.11963471483304611,risk_averse,979,979,4.754,964,4.679,876,4.263
2009-03-31,-0.05663390658004275,risk_averse,986,986,4.833,974,4.766,877,4.306
2009-04-30,0.12543795555156922,risk_seeking,993,993,4.884,980,4.812,884,4.344
2009-05-31,0.3072673237904835,risk_seeking,995,995,4.929,987,4.868,898,4.393
2009-06-30,0.200343730224948,risk_seeking,993,993,4.913,986,4.861,897,4.398
2009-07-31,0.16272320944453544,risk_seeking,997,997,4.945,991,4.901,902,4.453
2009-08-31,0.13988174047316093,risk_seeking,994,994,4.937,990,4.898,901,4.459
2009-09-30,0.1792794298327105,risk_seeking,989,989,4.923,986,4.895,893,4.442
2009-10-31,0.07156943529070814,risk_seeking,986,986,4.907,983,4.883,896,4.452
2009-11-30,0.09311931540469898,risk_seeking,982,981,4.886,979,4.866,892,4.428
2009-12-31,0.07637715036464998,risk_seeking,982,980,4.862,977,4.845,888,4.39
2010-01-31,0.062149858905256705,risk_seeking,987,985,4.868,975,4.843,884,4.37
2010-02-28,0.03595632456643272,risk_seeking,984,980,4.861,973,4.836,887,4.38
2010-03-31,0.073942078960195,risk_seeking,981,979,4.845,971,4.82,885,4.38
2010-04-30,0.12959508076939152,risk_seeking,992,992,4.881,978,4.845,877,4.354
2010-05-31,0.007354793908675994,risk_seeking,989,988,4.893,974,4.844,885,4.375
2010-06-30,-0.10076955774456064,risk_averse,988,987,4.874,972,4.818,882,4.348
2010-07-31,-0.05445201802156141,risk_averse,982,982,4.868,968,4.807,879,4.352
2010-08-31,-0.018162892369986472,risk_averse,984,982,4.868,969,4.81,885,4.365
2010-09-30,0.1322910639245498,risk_seeking,988,987,4.87,971,4.801,887,4.364
2010-10-31,0.09912128683812815,risk_seeking,986,984,4.854,968,4.785,888,4.373
2010-11-30,0.1541677769658616,risk_seeking,980,978,4.831,962,4.761,881,4.359
2010-12-31,0.12712497820934554,risk_seeking,986,981,4.856,970,4.79,884,4.385
2011-01-31,0.1077436984584299,risk_seeking,983,980,4.835,969,4.766,881,4.354
2011-02-28,0.1401818692192911,risk_seeking,981,979,4.85,969,4.784,882,4.374
2011-03-31,0.0712339579105481,risk_seeking,977,975,4.814,961,4.748,875,4.334
2011-04-30,0.0795592381240644,risk_seeking,990,987,4.852,967,4.787,880,4.356
2011-05-31,0.031123184420228434,risk_seeking,989,987,4.856,962,4.775,892,4.35
2011-06-30,0.00933527700129222,risk_seeking,979,978,4.817,955,4.729,883,4.328
2011-07-31,-0.03924010853309967,risk_averse,981,981,4.841,959,4.744,885,4.364
2011-08-31,-0.07921456225359713,risk_averse,983,982,4.848,962,4.74,885,4.365
2011-09-30,-0.12573591928162975,risk_averse,981,980,4.826,960,4.712,883,4.336
2011-10-31,-0.006200482459863044,risk_averse,988,986,4.867,964,4.754,884,4.367
2011-11-30,0.0480951060729915,risk_seeking,980,975,4.82,954,4.716,881,4.338
2011-12-31,0.13347320494932324,risk_seeking,977,973,4.807,957,4.71,877,4.319
2012-01-31,0.07011736595236484,risk_seeking,980,978,4.831,961,4.737,880,4.352
2012-02-29,0.12148394936069717,risk_seeking,986,985,4.839,964,4.741,881,4.352
2012-03-31,0.1464593733616737,risk_seeking,982,981,4.824,959,4.725,868,4.301
2012-04-30,0.08153207722379752,risk_seeking,985,984,4.836,960,4.739,863,4.274
2012-05-31,-0.026696025532363943,risk_averse,984,980,4.845,958,4.742,871,4.276
2012-06-30,-0.019814441807310068,risk_averse,984,981,4.854,960,4.749,875,4.292
2012-07-31,-0.0010543021286216758,risk_averse,982,981,4.836,960,4.738,875,4.309
2012-08-31,0.08783340966884645,risk_seeking,983,983,4.849,964,4.751,881,4.335
2012-09-30,0.07483022801662642,risk_seeking,987,987,4.883,967,4.784,873,4.329
2012-10-31,0.04583434027251965,risk_seeking,987,987,4.876,964,4.77,875,4.328
2012-11-30,0.027930036465412256,risk_seeking,986,986,4.884,966,4.785,876,4.338
2012-12-31,0.011702651513515905,risk_seeking,988,988,4.899,969,4.798,883,4.374
2013-01-31,0.08548000119097177,risk_seeking,983,983,4.881,965,4.783,877,4.357
2013-02-28,0.08998478454020908,risk_seeking,983,983,4.86,962,4.755,874,4.328
2013-03-31,0.12129081402864261,risk_seeking,991,990,4.899,971,4.798,877,4.342
2013-04-30,0.08057636235486632,risk_seeking,987,986,4.887,970,4.8,869,4.308
2013-05-31,0.0968958748027342,risk_seeking,985,984,4.873,966,4.786,869,4.264
2013-06-30,0.0417123663379344,risk_seeking,985,982,4.861,965,4.774,872,4.275
2013-07-31,0.08104997628221322,risk_seeking,978,977,4.841,961,4.757,869,4.278
2013-08-31,0.02358359527824705,risk_seeking,989,987,4.868,968,4.778,878,4.319
2013-09-30,0.07465242289510488,risk_seeking,982,980,4.85,963,4.754,874,4.321
2013-10-31,0.06211979570771864,risk_seeking,983,982,4.849,960,4.757,872,4.316
2013-11-30,0.1241141494010376,risk_seeking,988,988,4.866,969,4.771,876,4.32
2013-12-31,0.11591730097637831,risk_seeking,979,979,4.844,962,4.749,869,4.306
2014-01-31,0.03683419937562693,risk_seeking,977,976,4.837,960,4.755,858,4.268
2014-02-28,0.053732040341699205,risk_seeking,979,977,4.825,961,4.738,860,4.26
2014-03-31,0.030011491611991126,risk_seeking,987,987,4.87,966,4.775,865,4.29
2014-04-30,0.06412676768039804,risk_seeking,987,987,4.877,966,4.779,862,4.286
2014-05-31,0.03826528695464759,risk_seeking,988,985,4.871,963,4.773,873,4.277
2014-06-30,0.057602358445842494,risk_seeking,986,982,4.857,960,4.758,871,4.27
2014-07-31,0.03852998971444421,risk_seeking,984,981,4.845,958,4.739,867,4.262
2014-08-31,0.05895380511991544,risk_seeking,983,983,4.859,960,4.748,871,4.292
2014-09-30,0.0163775577764238,risk_seeking,983,983,4.868,961,4.75,867,4.299
2014-10-31,0.05795181368388902,risk_seeking,982,982,4.857,957,4.737,864,4.29
2014-11-30,0.04581485771565763,risk_seeking,983,982,4.846,956,4.73,864,4.29
2014-12-31,0.06105320055222907,risk_seeking,977,977,4.814,953,4.695,857,4.25
2015-01-31,0.008141308761919097,risk_seeking,976,975,4.8,950,4.679,849,4.198
2015-02-28,0.039076514421020114,risk_seeking,981,980,4.839,957,4.719,858,4.245
2015-03-31,0.028325771565052227,risk_seeking,989,988,4.863,964,4.748,864,4.263
2015-04-30,0.06593313957202462,risk_seeking,990,990,4.886,963,4.761,853,4.228
2015-05-31,0.01821575468113279,risk_seeking,987,987,4.875,967,4.758,866,4.235
2015-06-30,0.0141609488479848,risk_seeking,984,984,4.849,965,4.739,857,4.198
2015-07-31,0.02785347953155881,risk_seeking,972,972,4.781,956,4.678,845,4.142
2015-08-31,-0.04654340653657596,risk_averse,980,980,4.83,968,4.739,855,4.193
2015-09-30,-0.056202361694717484,risk_averse,972,971,4.782,960,4.704,846,4.161
2015-10-31,-0.002031422792887705,risk_averse,988,987,4.822,971,4.75,856,4.194
2015-11-30,0.06588326701745317,risk_seeking,990,988,4.821,972,4.754,860,4.201
2015-12-31,0.07595943678248518,risk_seeking,979,978,4.793,965,4.728,854,4.194
2016-01-31,-0.05375231012959558,risk_averse,983,982,4.823,971,4.761,864,4.249
2016-02-29,-0.056277484565414926,risk_averse,987,987,4.858,971,4.782,859,4.239
2016-03-31,0.02664938211068879,risk_seeking,986,986,4.871,970,4.797,862,4.261
2016-04-30,0.09070591029196473,risk_seeking,984,984,4.87,967,4.796,847,4.188
2016-05-31,0.10916858972341958,risk_seeking,989,986,4.882,969,4.804,858,4.196
2016-06-30,0.04012636394287661,risk_seeking,988,984,4.869,968,4.788,866,4.229
2016-07-31,0.07010300497078203,risk_seeking,988,984,4.88,971,4.805,866,4.261
2016-08-31,0.05568892881339371,risk_seeking,984,981,4.848,970,4.778,859,4.23
2016-09-30,0.055378658462677643,risk_seeking,981,979,4.824,967,4.758,851,4.203
2016-10-31,-0.0014313969797579151,risk_averse,980,980,4.839,965,4.771,854,4.235
2016-11-30,0.04379304687666208,risk_seeking,976,976,4.803,965,4.749,848,4.183
2016-12-31,0.06011494533388739,risk_seeking,975,975,4.789,964,4.736,847,4.186
2017-01-31,0.1016863518633544,risk_seeking,983,983,4.828,970,4.771,851,4.198
2017-02-28,0.08829856552779636,risk_seeking,985,985,4.833,969,4.77,849,4.184
2017-03-31,0.07098290380216454,risk_seeking,983,983,4.838,966,4.77,850,4.191
2017-04-30,0.05939318622669676,risk_seeking,989,989,4.852,969,4.771,849,4.174
2017-05-31,0.036183374699757964,risk_seeking,987,987,4.858,970,4.78,860,4.195
2017-06-30,0.04270894535674841,risk_seeking,986,985,4.866,969,4.788,854,4.186
2017-07-31,0.05275556982456919,risk_seeking,989,987,4.875,971,4.793,857,4.215
2017-08-31,0.0419369221919661,risk_seeking,988,986,4.863,968,4.778,853,4.195
2017-09-30,0.058651906693446554,risk_seeking,986,985,4.854,967,4.771,849,4.192
2017-10-31,0.06556706978138815,risk_seeking,987,986,4.855,968,4.769,851,4.188
2017-11-30,0.09555560799224438,risk_seeking,988,986,4.853,970,4.771,849,4.181
2017-12-31,0.082315236987752,risk_seeking,991,990,4.889,976,4.808,852,4.206
2018-01-31,0.11817931285593919,risk_seeking,990,990,4.895,976,4.821,853,4.229
2018-02-28,0.04631840758307493,risk_seeking,988,988,4.879,977,4.811,854,4.223
2018-03-31,0.009791952450491692,risk_seeking,983,983,4.86,969,4.793,851,4.218
2018-04-30,-0.04340229954438579,risk_averse,983,982,4.849,972,4.788,841,4.153
2018-05-31,0.0174558410226191,risk_seeking,981,979,4.819,971,4.764,839,4.084
2018-06-30,0.04932934935110134,risk_seeking,978,976,4.805,969,4.758,839,4.099
2018-07-31,0.08141100277636437,risk_seeking,980,979,4.829,969,4.78,845,4.153
2018-08-31,0.0926850520398026,risk_seeking,986,986,4.854,973,4.807,853,4.195
2018-09-30,0.09002012141081384,risk_seeking,991,991,4.867,974,4.812,852,4.205
2018-10-31,-0.018779159020969827,risk_averse,982,982,4.85,965,4.786,843,4.183
2018-11-30,-0.03298705257337431,risk_averse,986,986,4.861,972,4.792,847,4.195
2018-12-31,-0.12428897993513743,risk_averse,984,984,4.856,970,4.787,847,4.185
2019-01-31,0.026202590100732337,risk_seeking,986,986,4.878,970,4.806,850,4.215
2019-02-28,0.039351272674688076,risk_seeking,989,988,4.865,968,4.786,849,4.197
2019-03-31,0.1611888174895557,risk_seeking,982,981,4.841,960,4.755,845,4.187
2019-04-30,0.10965989222113492,risk_seeking,985,985,4.849,963,4.754,837,4.143
2019-05-31,0.0031631065826436267,risk_seeking,981,979,4.816,961,4.723,841,4.095
2019-06-30,0.05767800782834853,risk_seeking,977,976,4.824,961,4.734,840,4.113
2019-07-31,0.028885833527986238,risk_seeking,979,979,4.807,963,4.72,837,4.101
2019-08-31,0.07755614973651137,risk_seeking,974,974,4.79,957,4.712,832,4.093
2019-09-30,0.02235396424105085,risk_seeking,982,982,4.826,961,4.743,839,4.14
2019-10-31,0.030194531547310666,risk_seeking,987,987,4.844,963,4.751,836,4.129
2019-11-30,0.09173127677151927,risk_seeking,993,992,4.875,973,4.787,836,4.125
2019-12-31,0.10436554621091854,risk_seeking,990,990,4.876,969,4.775,841,4.153
2020-01-31,0.08543009287775138,risk_seeking,986,986,4.862,966,4.759,837,4.136
2020-02-29,-0.0368983943768616,risk_averse,986,986,4.838,963,4.726,836,4.125
2020-03-31,-0.16595770321041747,risk_averse,970,970,4.74,946,4.628,825,4.052
2020-04-30,-0.05530801851099132,risk_averse,985,985,4.802,958,4.683,829,4.079
2020-05-31,0.08379604753778613,risk_seeking,983,983,4.806,957,4.684,848,4.109
2020-06-30,0.2527879150571759,risk_seeking,980,980,4.803,955,4.673,851,4.132
2020-07-31,0.17010668748452584,risk_seeking,978,978,4.802,959,4.678,848,4.142
2020-08-31,0.19905132887662869,risk_seeking,978,977,4.797,962,4.683,852,4.139
2020-09-30,0.12672732981394685,risk_seeking,968,967,4.749,951,4.651,846,4.13
2020-10-31,0.03723612830124656,risk_seeking,973,973,4.783,961,4.705,845,4.153
2020-11-30,0.08099565908954198,risk_seeking,975,975,4.778,953,4.7,844,4.155
2020-12-31,0.17124407527736984,risk_seeking,966,965,4.739,943,4.658,834,4.117
2021-01-31,0.20927598556775284,risk_seeking,964,963,4.677,930,4.571,823,4.057
2021-02-28,0.10495953712707795,risk_seeking,980,978,4.766,942,4.639,838,4.109
2021-03-31,0.09199863193819025,risk_seeking,973,971,4.772,940,4.642,832,4.103
2021-04-30,0.13609340156747396,risk_seeking,971,970,4.755,934,4.611,819,4.05
2021-05-31,0.10425672822295362,risk_seeking,974,972,4.775,938,4.62,836,4.062
2021-06-30,0.10022868138453922,risk_seeking,964,963,4.738,925,4.569,832,4.053
2021-07-31,0.06451733067499954,risk_seeking,973,973,4.768,930,4.589,842,4.115
2021-08-31,0.0938010632784152,risk_seeking,976,976,4.782,931,4.601,836,4.116
2021-09-30,0.01515000510646125,risk_seeking,980,980,4.802,931,4.608,834,4.13
2021-10-31,0.0725158473750358,risk_seeking,980,980,4.784,931,4.574,830,4.109
2021-11-30,0.033964149027913226,risk_seeking,977,977,4.791,934,4.594,833,4.114
2021-12-31,0.11985260705597578,risk_seeking,986,986,4.833,946,4.624,839,4.128
2022-01-31,-0.01438259560098043,risk_averse,993,992,4.879,956,4.689,841,4.153
2022-02-28,-0.028674768206354617,risk_averse,991,990,4.892,962,4.72,841,4.159
2022-03-31,-0.02930941404933518,risk_averse,995,995,4.9,963,4.732,845,4.179
2022-04-30,-0.06397507241535294,risk_averse,990,990,4.899,964,4.751,836,4.145
2022-05-31,-0.042809159764031324,risk_averse,993,992,4.9,968,4.761,850,4.116
2022-06-30,-0.14959745453020667,risk_averse,996,994,4.926,976,4.804,860,4.189
2022-07-31,0.025181165256189297,risk_seeking,994,991,4.901,975,4.792,864,4.218
2022-08-31,-0.013002274439812833,risk_averse,993,992,4.901,978,4.8,865,4.23
2022-09-30,-0.02285071996487098,risk_averse,991,991,4.913,980,4.823,861,4.255
2022-10-31,-0.0349682120442355,risk_averse,992,992,4.905,986,4.84,860,4.239
2022-11-30,0.055971488392288826,risk_seeking,990,990,4.916,985,4.861,862,4.264
2022-12-31,0.09255726322656588,risk_seeking,992,991,4.902,987,4.866,862,4.254
2023-01-31,0.07964569178132797,risk_seeking,992,991,4.912,986,4.883,862,4.268
2023-02-28,0.002043298280703043,risk_seeking,993,992,4.904,987,4.88,862,4.262
2023-03-31,0.10466632492451544,risk_seeking,991,991,4.903,984,4.874,869,4.308
2023-04-30,0.041769916547664376,risk_seeking,995,995,4.909,988,4.882,860,4.256
2023-05-31,0.08171260650750023,risk_seeking,994,993,4.915,987,4.878,866,4.274
2023-06-30,0.11292958443092682,risk_seeking,988,987,4.9,983,4.868,861,4.261
2023-07-31,0.138663899274871,risk_seeking,994,994,4.926,988,4.892,860,4.256
2023-08-31,0.10206970864669795,risk_seeking,986,986,4.874,979,4.842,856,4.231
2023-09-30,-0.01817916699925526,risk_averse,989,989,4.891,983,4.862,860,4.252
2023-10-31,-0.07417901498901536,risk_averse,987,987,4.883,979,4.853,858,4.246
2023-11-30,0.030777250994554084,risk_seeking,987,987,4.882,980,4.849,856,4.239
2023-12-31,0.13722256039328662,risk_seeking,991,991,4.906,984,4.871,856,4.245
2024-01-31,0.1847671757444218,risk_seeking,996,996,4.926,988,4.892,857,4.242
2024-02-29,0.14663939997402964,risk_seeking,992,992,4.908,984,4.872,857,4.238
2024-03-31,0.12836729181621487,risk_seeking,991,991,4.901,985,4.868,856,4.234
2024-04-30,0.0645971326919137,risk_seeking,989,989,4.887,983,4.855,848,4.191
2024-05-31,0.055254922211828594,risk_seeking,983,983,4.866,977,4.834,854,4.189
2024-06-30,0.05687899224278703,risk_seeking,990,990,4.894,986,4.866,858,4.213
2024-07-31,0.11896811897101589,risk_seeking,983,983,4.859,978,4.831,854,4.207
2024-08-31,0.0897363220498757,risk_seeking,988,988,4.872,981,4.843,855,4.212
2024-09-30,0.0759918593250204,risk_seeking,989,989,4.871,981,4.838,857,4.217
2024-10-31,0.05361813108897029,risk_seeking,989,989,4.876,979,4.841,858,4.234
2024-11-30,0.10410687579483069,risk_seeking,986,986,4.842,976,4.804,851,4.195
