table,row,metric,printed_value,source_tex_recovered,author_native_experiment_executed,published_result_regenerated,native_paper_result_credit,blocking_reason
ic_comparison,Average,llm_ic_p,+0.005,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
ic_comparison,Average,delta_ic,+0.011,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,BlindTrade,sharpe,1.40 ± 0.22,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,BlindTrade,cumret,32.22 ± 5.21,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,BlindTrade,mdd,-31.66 ± 5.76,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,BlindTrade,vol,42.34 ± 7.12%,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,SPY,sharpe,0.64,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,SPY,cumret,8.52,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,SPY,mdd,-19.00,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,SPY,vol,23.26%,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,EQWL,sharpe,0.74,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,EQWL,cumret,7.23,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,EQWL,mdd,-15.39,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,EQWL,vol,22.51%,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,Momentum,sharpe,0.89,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,Momentum,cumret,15.42,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,Momentum,mdd,-26.49,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,Momentum,vol,32.19%,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,MCap Top-20,sharpe,0.85,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,MCap Top-20,cumret,11.50,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,MCap Top-20,mdd,-19.56,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,MCap Top-20,vol,24.91%,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,RAW Top-20,sharpe,0.97,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,RAW Top-20,cumret,11.54,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,RAW Top-20,mdd,-15.63,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
main_results,RAW Top-20,vol,21.78%,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
stability,SemGAT (baseline),delta_sharpe_vs_spy,+0.76,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
stability,SemGAT (baseline),std,0.20,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
stability,SemGAT (baseline),win_rate,20/20,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
stability,SemGAT-C (Vol-target),delta_sharpe_vs_spy,+0.37,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
stability,SemGAT-C (Vol-target),std,0.69,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
stability,SemGAT-C (Vol-target),win_rate,12/20,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
stability,SemGAT-D (Conf-loss),delta_sharpe_vs_spy,+0.16,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
stability,SemGAT-D (Conf-loss),std,0.40,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
stability,SemGAT-D (Conf-loss),win_rate,10/20,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,SPY,sharpe,1.06,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,EQWL,sharpe,0.66,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,Momentum,sharpe,1.34,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,MCap Top-20,sharpe,1.54,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,RAW Top-20,sharpe,1.69,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,BlindTrade,sharpe,0.69 ± 0.23,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,SPY,cumret,31.5,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,EQWL,cumret,16.5,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,Momentum,cumret,73.5,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,MCap Top-20,cumret,53.4,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,RAW Top-20,cumret,63.3,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,BlindTrade,cumret,30.1 ± 5.4,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,SPY,annret,18.3,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,EQWL,annret,10.2,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,Momentum,annret,41.9,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,MCap Top-20,annret,31.2,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,RAW Top-20,annret,36.5,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,BlindTrade,annret,21.8 ± 16.9,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,SPY,vol,17.2,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,EQWL,vol,17.0,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,Momentum,vol,29.5,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,MCap Top-20,vol,18.7,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,RAW Top-20,vol,19.6,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,BlindTrade,vol,36.2 ± 2.4,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,SPY,mdd,-19.0,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,EQWL,mdd,-20.7,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,Momentum,mdd,-26.5,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,MCap Top-20,mdd,-19.6,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,RAW Top-20,mdd,-15.6,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_full,BlindTrade,mdd,-32.1 ± 2.5,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:SPY,sharpe,1.70,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:SPY,cumret,23.3,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:SPY,annret,23.3,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:SPY,vol,12.4,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:SPY,mdd,-8.4,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:BlindTrade,sharpe,0.34 ± 0.18,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:BlindTrade,cumret,5.8 ± 5.8,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:BlindTrade,annret,5.8,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:BlindTrade,vol,29.6 ± 1.1,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2024_bull:BlindTrade,mdd,-18.5 ± 3.1,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:SPY,sharpe,0.54,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:SPY,cumret,6.1,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:SPY,annret,10.8,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:SPY,vol,23.2,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:SPY,mdd,-19.0,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:BlindTrade,sharpe,1.02 ± 0.12,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:BlindTrade,cumret,22.8 ± 4.0,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:BlindTrade,annret,46.7,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:BlindTrade,vol,44.2 ± 1.2,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
extended_oos_breakdown,2025_ytd_volatile:BlindTrade,mdd,-32.4 ± 0.7,True,False,False,False,"no attributable code, frozen point-in-time data, LLM request/response corpus, trained checkpoints, seed-level paths, holdings, returns, or raw result arrays"
